Time;Instruction
2024-11-01 15:59:34.108560;1
2024-11-01 15:59:36.377251;2
2024-11-01 15:59:38.458332;3
2024-11-01 15:59:40.591309;4
2024-11-01 15:59:46.788775;2
2024-11-01 15:59:49.061739;2
2024-11-01 15:59:51.132116;1
2024-11-01 15:59:53.351856;2
2024-11-01 15:59:55.520625;1
2024-11-01 15:59:57.780264;3
2024-11-01 16:00:00.025782;3
2024-11-01 16:00:02.160567;1
2024-11-01 16:00:04.291523;1
2024-11-01 16:00:06.408497;3
2024-11-01 16:00:08.647308;3
2024-11-01 16:00:10.742196;3
2024-11-01 16:00:13.014273;3
2024-11-01 16:00:15.173882;2
2024-11-01 16:00:17.278840;1
