Time;Instruction
2025-03-27 15:14:19.600956;1
2025-03-27 15:14:22.012538;2
2025-03-27 15:14:24.355890;3
2025-03-27 15:14:26.733063;4
2025-03-27 15:14:33.181520;2
2025-03-27 15:14:35.517745;1
2025-03-27 15:14:37.969664;1
2025-03-27 15:14:40.330197;2
2025-03-27 15:14:42.773114;4
2025-03-27 15:14:45.072002;4
2025-03-27 15:14:47.452604;3
2025-03-27 15:14:49.862820;1
2025-03-27 15:14:52.193961;1
2025-03-27 15:14:54.504438;2
2025-03-27 15:14:56.923123;3
2025-03-27 15:14:59.349487;2
2025-03-27 15:15:01.735550;4
2025-03-27 15:15:04.080639;4
2025-03-27 15:15:06.422652;2
2025-03-27 15:15:08.784912;4
2025-03-27 15:15:11.156579;1
2025-03-27 15:15:13.542391;1
2025-03-27 15:15:16.012408;3
2025-03-27 15:15:18.373372;3
2025-03-27 15:15:20.834055;3
2025-03-27 15:15:23.111552;4
2025-03-27 15:15:25.475722;2
2025-03-27 15:15:27.779460;1
2025-03-27 15:15:30.168680;3
2025-03-27 15:15:32.545493;1
2025-03-27 15:15:34.998391;1
2025-03-27 15:15:37.463039;1
2025-03-27 15:15:39.917719;2
2025-03-27 15:15:42.271423;1
2025-03-27 15:15:44.591055;1
2025-03-27 15:15:46.974620;2
2025-03-27 15:15:49.447358;4
2025-03-27 15:15:51.864676;3
2025-03-27 15:15:54.303877;2
2025-03-27 15:15:56.744695;4
2025-03-27 15:15:59.063459;3
2025-03-27 15:16:01.432136;2
2025-03-27 15:16:03.742606;2
2025-03-27 15:16:06.173908;1
2025-03-27 15:16:08.506237;4
2025-03-27 15:16:10.950470;3
2025-03-27 15:16:13.286814;1
2025-03-27 15:16:15.704292;2
2025-03-27 15:16:18.037601;4
2025-03-27 15:16:20.427340;4
2025-03-27 15:16:22.739158;4
2025-03-27 15:16:25.178598;4
2025-03-27 15:16:27.593215;3
2025-03-27 15:16:30.006891;2
2025-03-27 15:16:32.434314;2
2025-03-27 15:16:34.815358;2
2025-03-27 15:16:37.198386;3
2025-03-27 15:16:39.656430;4
2025-03-27 15:16:42.128898;3
2025-03-27 15:16:44.511325;3
2025-03-27 15:16:46.903628;3
2025-03-27 15:16:49.399271;1
2025-03-27 15:16:51.817549;4
2025-03-27 15:16:54.210362;3
