Time;Instruction
2025-05-15 15:15:30.802160;1
2025-05-15 15:15:33.218861;2
2025-05-15 15:15:35.499918;3
2025-05-15 15:15:37.919785;4
2025-05-15 15:15:44.249704;3
2025-05-15 15:15:46.612759;2
2025-05-15 15:15:48.926786;1
2025-05-15 15:15:51.282306;3
2025-05-15 15:15:53.574614;1
2025-05-15 15:15:55.924152;3
2025-05-15 15:15:58.242870;1
2025-05-15 15:16:00.675396;1
2025-05-15 15:16:03.114321;1
2025-05-15 15:16:05.504215;3
2025-05-15 15:16:07.846297;1
2025-05-15 15:16:10.275078;1
2025-05-15 15:16:12.623476;4
2025-05-15 15:16:14.999183;1
2025-05-15 15:16:17.367219;2
2025-05-15 15:16:19.806564;4
2025-05-15 15:16:22.104435;2
2025-05-15 15:16:24.457336;2
2025-05-15 15:16:26.846284;2
2025-05-15 15:16:29.225807;2
2025-05-15 15:16:31.527491;2
2025-05-15 15:16:33.915525;1
2025-05-15 15:16:36.195073;1
2025-05-15 15:16:38.541665;3
2025-05-15 15:16:40.825054;2
2025-05-15 15:16:43.269459;4
2025-05-15 15:16:45.715046;3
2025-05-15 15:16:48.189359;2
2025-05-15 15:16:50.550317;3
2025-05-15 15:16:52.976157;4
2025-05-15 15:16:55.284609;3
2025-05-15 15:16:57.591958;4
2025-05-15 15:17:00.023205;4
2025-05-15 15:17:02.379175;3
2025-05-15 15:17:04.731892;3
2025-05-15 15:17:07.071152;3
2025-05-15 15:17:09.370704;4
2025-05-15 15:17:11.804427;4
2025-05-15 15:17:14.242201;3
2025-05-15 15:17:16.574649;4
2025-05-15 15:17:18.905578;4
2025-05-15 15:17:21.372771;4
2025-05-15 15:17:23.786816;1
2025-05-15 15:17:26.079231;4
2025-05-15 15:17:28.538227;1
2025-05-15 15:17:30.951386;3
2025-05-15 15:17:33.427779;2
2025-05-15 15:17:35.740571;2
2025-05-15 15:17:38.115401;1
2025-05-15 15:17:40.542112;1
2025-05-15 15:17:42.912662;1
2025-05-15 15:17:45.391945;3
2025-05-15 15:17:47.706222;3
2025-05-15 15:17:50.091273;2
2025-05-15 15:17:52.400072;2
2025-05-15 15:17:54.714403;4
2025-05-15 15:17:57.010533;4
2025-05-15 15:17:59.301619;2
2025-05-15 15:18:01.768767;2
2025-05-15 15:18:04.244453;4
