Start_time;End_time;C1;C2;C3;C4;C5
2025-02-27 11:37:41.008840;2025-02-27 11:37:42.177790;11.422815,476.204294,34.608835,0.168729;9.774345,545.135774,34.822036,0.180765;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:42.177790;2025-02-27 11:37:42.985138;11.422845,476.204502,34.608837,0.168729;9.774387,545.136086,34.822036,0.180765;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:42.985138;2025-02-27 11:37:44.064350;11.422866,476.204674,34.60884,0.168729;9.774398,545.136264,34.822038,0.180765;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:44.065348;2025-02-27 11:37:45.086267;11.422871,476.204877,34.608841,0.168729;9.774418,545.136453,34.82204,0.180765;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:45.088261;2025-02-27 11:37:46.146783;11.422874,476.205201,34.608842,0.168729;9.774425,545.136991,34.82204,0.180765;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:46.146783;2025-02-27 11:37:47.186084;11.422875,476.205315,34.608845,0.168729;9.774427,545.137114,34.822043,0.180765;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:47.186084;2025-02-27 11:37:48.245572;11.422875,476.205539,34.608847,0.168729;9.774429,545.137286,34.822046,0.180766;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:48.246569;2025-02-27 11:37:49.297195;11.422878,476.205725,34.60885,0.168729;9.774433,545.137493,34.822048,0.180766;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:49.298194;2025-02-27 11:37:50.339424;11.422879,476.205932,34.608854,0.168729;9.774438,545.137761,34.822048,0.180766;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:50.340421;2025-02-27 11:37:51.390071;11.422885,476.206107,34.608858,0.168729;9.774443,545.137947,34.822049,0.180766;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:51.393063;2025-02-27 11:37:52.446056;11.42289,476.206208,34.608862,0.168729;9.774443,545.138081,34.822052,0.180766;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:52.446056;2025-02-27 11:37:53.500267;11.422898,476.206529,34.608862,0.168729;9.774446,545.138369,34.822054,0.180766;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:53.501264;2025-02-27 11:37:54.559409;11.422901,476.206793,34.608863,0.168729;9.774449,545.138559,34.822058,0.180766;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:54.560406;2025-02-27 11:37:55.598723;11.422907,476.206985,34.608865,0.168729;9.774452,545.138774,34.822061,0.180766;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
2025-02-27 11:37:55.598723;2025-02-27 11:37:56.661227;11.422908,476.207145,34.608867,0.168729;9.774455,545.138965,34.822065,0.180766;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0;0.0,0.0,0.0,0.0
