Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:44:08.084364;2025-05-15 15:44:09.173703;340810.382713,24462216.129714,32.555996,36.058768;831386.600154,35201617.957203,29.797744,40.866135;412301.264777,24515627.80693,33.009924,36.523915;935315.324261,33604653.934767,30.689708,40.874274;842474.283141,38116304.529198,29.878578,42.668139
2025-05-15 15:44:09.174701;2025-05-15 15:44:09.962535;340811.151649,24462244.373076,32.555992,36.058786;831387.993516,35201717.065333,29.797747,40.866197;412302.810847,24515751.334547,33.009911,36.523998;935316.845904,33604842.032297,30.689711,40.874391;842475.168526,38116349.231835,29.878576,42.668162
2025-05-15 15:44:09.963533;2025-05-15 15:44:10.521497;340811.516261,24462255.306202,32.555992,36.058795;831388.435171,35201759.245762,29.797755,40.866232;412303.315141,24515803.689226,33.009914,36.524044;935317.475708,33604928.247123,30.689724,40.874462;842475.429866,38116362.826015,29.878579,42.668173
2025-05-15 15:44:10.523459;2025-05-15 15:44:11.027734;340811.957365,24462288.466647,32.555996,36.058828;831391.065746,35201961.857931,29.797789,40.8664;412306.61124,24516066.829289,33.009919,36.52428;935323.293361,33605365.166618,30.689776,40.874821;842476.312732,38116433.652768,29.878588,42.668227
2025-05-15 15:44:11.028735;2025-05-15 15:44:11.542238;340812.703866,24462298.528311,32.556,36.05884;831393.262044,35202015.345533,29.797815,40.866454;412309.278827,24516134.163826,33.009942,36.524352;935326.820918,33605473.158081,30.689822,40.874929;842477.112743,38116449.913212,29.878594,42.668243
2025-05-15 15:44:11.543236;2025-05-15 15:44:12.100222;340812.95073,24462320.19798,32.556008,36.058861;831393.771288,35202090.731792,29.797865,40.866541;412309.893593,24516226.696113,33.009991,36.524467;935327.609547,33605615.902067,30.689917,40.875103;842477.345944,38116477.562619,29.878608,42.66827
2025-05-15 15:44:12.101219;2025-05-15 15:44:12.721125;340813.182358,24462335.889187,32.556014,36.058879;831394.574953,35202153.257042,29.797906,40.866616;412311.054779,24516306.083983,33.010028,36.524566;935329.400135,33605736.798476,30.68999,40.875253;842477.671494,38116500.497769,29.878619,42.668295
2025-05-15 15:44:12.722137;2025-05-15 15:44:13.802993;340813.273501,24462356.175878,32.556022,36.058903;831395.057909,35202250.382676,29.797955,40.866731;412311.816029,24516434.472674,33.010069,36.524725;935330.519682,33605959.36703,30.690079,40.8755;842477.883266,38116536.284627,29.878633,42.668333
2025-05-15 15:44:13.803993;2025-05-15 15:44:14.871582;340813.89743,24462389.02196,32.556031,36.058939;831396.930785,35202427.432661,29.798,40.866877;412313.902198,24516668.556815,33.01009,36.524927;935334.010836,33606363.219352,30.690143,40.875811;842478.162754,38116596.892021,29.878645,42.66838
2025-05-15 15:44:14.872579;2025-05-15 15:44:15.888470;340814.1794,24462453.650276,32.556028,36.058979;831397.161092,35202570.26048,29.798042,40.866983;412314.21561,24516845.721837,33.010123,36.525069;935334.983874,33606651.872331,30.690217,40.876026;842478.264803,38116653.937073,29.878656,42.668416
2025-05-15 15:44:15.889468;2025-05-15 15:44:16.951631;340814.962048,24462465.412782,32.55603,36.058991;831399.077709,35202612.389544,29.798055,40.867025;412316.48084,24516898.616776,33.01013,36.525126;935338.675634,33606737.220539,30.690235,40.876108;842479.680812,38116675.986873,29.878659,42.668433
2025-05-15 15:44:16.952629;2025-05-15 15:44:18.013871;340815.237503,24462508.336459,32.556036,36.059024;831399.702098,35202830.421304,29.798098,40.86717;412317.269919,24517181.431982,33.01015,36.525327;935339.769446,33607170.425609,30.690304,40.876396;842480.103514,38116748.930507,29.878671,42.668481
2025-05-15 15:44:18.014899;2025-05-15 15:44:19.060842;340815.351012,24462538.357067,32.556048,36.059058;831400.02414,35203001.621875,29.798165,40.867335;412317.571396,24517398.867092,33.010201,36.525551;935340.211297,33607528.260982,30.690416,40.87673;842480.209446,38116805.042641,29.878689,42.66853
2025-05-15 15:44:19.061840;2025-05-15 15:44:20.123848;340815.813332,24462556.781502,32.556055,36.059077;831400.51042,35203107.903711,29.798208,40.867427;412318.150295,24517541.4011,33.01024,36.525681;935341.165907,33607770.252649,30.690497,40.876933;842480.753864,38116847.956112,29.878702,42.668563
2025-05-15 15:44:20.124844;2025-05-15 15:44:21.192291;340815.857123,24462567.450173,32.556055,36.059085;831400.696843,35203166.875814,29.798213,40.867465;412318.474325,24517618.740215,33.010238,36.525736;935341.707268,33607898.737672,30.690504,40.877015;842480.825889,38116868.059408,29.878705,42.668576
2025-05-15 15:44:21.193288;2025-05-15 15:44:22.232448;340816.584987,24462588.822082,32.556059,36.059107;831401.80451,35203251.565882,29.798245,40.867549;412319.791939,24517727.258042,33.010263,36.52585;935343.20449,33608072.036246,30.690564,40.877187;842481.500799,38116907.583443,29.878714,42.668608
2025-05-15 15:44:22.232448;2025-05-15 15:44:23.300243;340816.847883,24462604.278139,32.556064,36.059123;831402.362076,35203320.107439,29.798281,40.867622;412320.415457,24517817.30873,33.010295,36.525951;935344.163295,33608224.441665,30.690632,40.877349;842481.695569,38116932.952537,29.878724,42.668632
2025-05-15 15:44:23.301238;2025-05-15 15:44:24.365358;340817.173927,24462624.616315,32.556074,36.059146;831403.818967,35203422.747764,29.798339,40.867728;412322.253541,24517953.85834,33.010349,36.526098;935346.9834,33608455.43767,30.690738,40.877577;842482.060584,38116971.624044,29.87874,42.668667
2025-05-15 15:44:24.366354;2025-05-15 15:44:25.429280;340817.418343,24462653.210734,32.556079,36.059173;831405.434823,35203537.880529,29.798383,40.867846;412324.417254,24518099.598273,33.010384,36.526263;935351.002106,33608686.397219,30.690821,40.877826;842482.612759,38117019.558187,29.878752,42.668707
2025-05-15 15:44:25.429280;2025-05-15 15:44:26.500103;340817.908491,24462669.704571,32.556079,36.059187;831409.970909,35203595.479206,29.798396,40.867903;412330.619186,24518171.901223,33.010388,36.526342;935361.780142,33608807.376974,30.690843,40.877949;842483.683857,38117040.476761,29.878756,42.668726
2025-05-15 15:44:26.500702;2025-05-15 15:44:27.558035;340818.261611,24462689.248695,32.556082,36.059206;831410.955357,35203691.407771,29.798426,40.86799;412331.832903,24518298.25043,33.010407,36.526462;935363.773876,33609006.534606,30.690896,40.878128;842484.12321,38117082.442478,29.878763,42.668756
