Start_time;End_time;C1;C2;C3;C4;C5
2025-04-01 11:05:37.334676;2025-04-01 11:05:38.823910;920165.580867,41121665.322149,27.900128,42.404813;2023727.593681,50359885.710114,27.769019,47.740565;3178297.741689,60787975.261309,27.782911,52.365504;3491689.561459,91456997.850785,28.760905,64.939207;1043314.134607,43691766.126263,28.369816,44.415385
2025-04-01 11:05:38.824908;2025-04-01 11:05:39.264594;920165.605058,41121668.379402,27.900129,42.404815;2023727.644499,50359889.501113,27.76902,47.740567;3178297.758661,60787977.945649,27.782911,52.365505;3491689.588505,91457003.193486,28.760905,64.93921;1043314.176951,43691770.210487,28.369816,44.415388
2025-04-01 11:05:39.265591;2025-04-01 11:05:39.705894;920165.663025,41121674.088463,27.90013,42.404818;2023727.824763,50359899.435071,27.76902,47.740572;3178297.814751,60787981.291548,27.782911,52.365507;3491689.686018,91457008.525464,28.760906,64.939212;1043314.325874,43691774.792808,28.369817,44.415391
2025-04-01 11:05:39.706891;2025-04-01 11:05:40.262368;920165.882361,41121689.460652,27.900136,42.404831;2023728.143696,50359918.394759,27.769028,47.740588;3178298.014319,60787993.731999,27.782912,52.365513;3491689.899062,91457029.16976,28.76091,64.939226;1043314.525183,43691789.295674,28.369821,44.415401
2025-04-01 11:05:40.263360;2025-04-01 11:05:41.252446;920166.028806,41121700.490978,27.90014,42.40484;2023729.274436,50359965.693928,27.769031,47.740613;3178298.046604,60787998.426816,27.782913,52.365516;3491689.994559,91457041.165862,28.760913,64.939234;1043314.620589,43691796.753365,28.369824,44.415408
2025-04-01 11:05:41.252446;2025-04-01 11:05:42.317767;920166.209775,41121709.556029,27.900141,42.404845;2023730.546244,50359993.637089,27.769032,47.740626;3178298.284642,60788005.820745,27.782914,52.365519;3491690.109521,91457051.269045,28.760914,64.939238;1043314.656718,43691805.663845,28.369824,44.415412
2025-04-01 11:05:42.317767;2025-04-01 11:05:43.355701;920166.487142,41121717.138814,27.900142,42.40485;2023730.937517,50360004.618282,27.769032,47.740632;3178298.385072,60788011.570892,27.782914,52.365522;3491690.457463,91457058.846529,28.760915,64.939241;1043314.850826,43691811.05548,28.369826,44.415416
2025-04-01 11:05:43.356698;2025-04-01 11:05:44.432803;920166.765011,41121725.034971,27.900144,42.404855;2023731.727703,50360018.012001,27.769034,47.740639;3178298.665434,60788017.60211,27.782915,52.365525;3491690.765208,91457071.77579,28.760916,64.939247;1043315.186298,43691822.25457,28.369827,44.415423
2025-04-01 11:05:44.433804;2025-04-01 11:05:45.469879;920167.087182,41121733.62969,27.900148,42.404862;2023732.111117,50360030.147453,27.769039,47.740648;3178298.864762,60788022.793636,27.782915,52.365527;3491690.978542,91457083.769001,28.760919,64.939254;1043315.468562,43691830.574227,28.369829,44.415428
2025-04-01 11:05:45.470874;2025-04-01 11:05:46.545354;920167.198256,41121739.750767,27.90015,42.404867;2023732.351183,50360037.78604,27.769042,47.740654;3178298.885347,60788026.204263,27.782916,52.365529;3491691.071199,91457092.159953,28.760921,64.939259;1043315.507874,43691836.310966,28.369831,44.415432
2025-04-01 11:05:46.546351;2025-04-01 11:05:47.596913;920167.205334,41121744.534816,27.900151,42.40487;2023732.471877,50360043.785224,27.769043,47.740657;3178298.896205,60788029.551966,27.782916,52.36553;3491691.089091,91457098.090354,28.760921,64.939262;1043315.520428,43691840.89191,28.369832,44.415435
2025-04-01 11:05:47.596913;2025-04-01 11:05:48.651951;920167.221219,41121751.647073,27.900153,42.404875;2023732.555551,50360054.344004,27.769045,47.740664;3178298.919884,60788033.217764,27.782917,52.365532;3491691.12525,91457108.404734,28.760923,64.939267;1043315.580988,43691847.838007,28.369833,44.415439
2025-04-01 11:05:48.652949;2025-04-01 11:05:49.702745;920167.233398,41121758.610141,27.90016,42.404884;2023732.804236,50360066.651437,27.769051,47.740675;3178298.935744,60788036.145296,27.782918,52.365535;3491691.154939,91457114.408303,28.760925,64.939273;1043315.626056,43691852.107123,28.369837,44.415445
2025-04-01 11:05:49.703741;2025-04-01 11:05:50.782635;920167.53948,41121764.836433,27.900162,42.404889;2023732.890377,50360074.104424,27.769053,47.74068;3178299.024787,60788038.627013,27.782918,52.365536;3491691.409332,91457120.855147,28.760927,64.939277;1043315.733829,43691855.854626,28.369839,44.415448
2025-04-01 11:05:50.783633;2025-04-01 11:05:51.832230;920167.853903,41121767.308115,27.900163,42.404892;2023732.977544,50360077.040708,27.769055,47.740684;3178299.236466,60788040.392887,27.782919,52.365537;3491691.897794,91457123.977928,28.760928,64.93928;1043316.009571,43691857.807672,28.36984,44.41545
2025-04-01 11:05:51.832230;2025-04-01 11:05:52.890985;920168.495506,41121771.144817,27.900164,42.404895;2023733.570759,50360081.31469,27.769056,47.740687;3178299.559303,60788042.256748,27.782919,52.365539;3491692.717124,91457127.017364,28.760929,64.939282;1043316.514189,43691860.317758,28.369841,44.415453
