Start_time;End_time;C1;C2;C3;C4;C5
2025-04-08 15:51:56.327058;2025-04-08 15:51:57.804841;824023.296548,31565852.296244,31.534791,40.458723;165405.254871,11909540.152814,34.931356,26.783111;173747.142054,12018434.130511,34.871986,26.86698;775126.557873,21208293.249176,33.495224,35.103845;251248.833449,11191414.786927,34.46379,25.770888
2025-04-08 15:51:57.805838;2025-04-08 15:51:58.504455;824023.684779,31565861.083432,31.534793,40.458729;165405.748401,11909547.977859,34.931357,26.78312;173747.504822,12018441.070493,34.871988,26.866989;775127.170665,21208308.941082,33.495222,35.103856;251249.079495,11191422.359451,34.463792,25.770897
2025-04-08 15:51:58.505453;2025-04-08 15:51:58.984317;824023.724179,31565870.10575,31.534792,40.458734;165405.841957,11909556.121996,34.931354,26.783126;173747.55811,12018449.487019,34.871983,26.866995;775127.236418,21208316.578468,33.49522,35.10386;251249.164526,11191430.5568,34.463788,25.770904
2025-04-08 15:51:58.986318;2025-04-08 15:51:59.458294;824023.880692,31565872.825929,31.534792,40.458736;165406.098593,11909560.176028,34.931352,26.78313;173747.655283,12018454.997545,34.871981,26.866999;775127.336104,21208321.775231,33.495219,35.103863;251249.339534,11191435.034348,34.463786,25.770908
2025-04-08 15:51:59.460292;2025-04-08 15:52:00.179990;824024.173451,31565874.048919,31.534793,40.458738;165406.255221,11909562.201914,34.931353,26.783133;173747.727491,12018457.618115,34.871981,26.867002;775127.457684,21208323.929193,33.49522,35.103865;251249.534634,11191437.437446,34.463786,25.77091
2025-04-08 15:52:00.180988;2025-04-08 15:52:01.242892;824024.200871,31565877.392952,31.534794,40.458741;165406.311687,11909566.577859,34.931354,26.783139;173747.82748,12018461.861019,34.871981,26.867006;775127.497496,21208327.729481,33.49522,35.103868;251249.600194,11191441.942473,34.463786,25.770915
2025-04-08 15:52:01.242892;2025-04-08 15:52:02.307749;824024.331011,31565882.30019,31.534795,40.458744;165406.442514,11909573.068897,34.931353,26.783145;173747.905343,12018468.033833,34.871979,26.867012;775127.601238,21208332.43905,33.49522,35.103872;251249.74339,11191447.730911,34.463785,25.770921
2025-04-08 15:52:02.308746;2025-04-08 15:52:03.460385;824024.347839,31565885.677946,31.534795,40.458747;165406.490262,11909576.523154,34.931353,26.783149;173747.926273,12018470.531272,34.871979,26.867015;775127.871204,21208342.16223,33.495217,35.103877;251249.746865,11191449.685134,34.463785,25.770923
2025-04-08 15:52:03.462379;2025-04-08 15:52:04.543105;824024.361226,31565890.371808,31.534795,40.458749;165406.559976,11909582.190972,34.931351,26.783154;173747.933573,12018474.881784,34.871978,26.867019;775127.904191,21208345.77658,33.495216,35.10388;251249.77734,11191453.950047,34.463785,25.770928
2025-04-08 15:52:04.545098;2025-04-08 15:52:05.552653;824025.146332,31565904.364025,31.534793,40.458756;165407.697402,11909594.416244,34.931346,26.783163;173748.825016,12018485.352006,34.871973,26.867027;775128.635415,21208355.040924,33.495214,35.103885;251250.455858,11191463.593345,34.46378,25.770935
