Estimulo;C1;C5
0;26623351.40986,512817977.563838,26.489986,149.138722,26623351.40986,512817977.563838,26.489986,149.138722;16194486.120463,396876593.164075,26.747722,130.695498,16194486.120463,396876593.164075,26.747722,130.695498
0;26623351.868548,512817986.953953,26.489986,149.138723,26623351.868548,512817986.953953,26.489986,149.138723;16194486.653035,396876603.009959,26.747723,130.695501,16194486.653035,396876603.009959,26.747723,130.695501
0;26623351.912307,512817994.075485,26.489986,149.138725,26623351.912307,512817994.075485,26.489986,149.138725;16194486.809343,396876631.370803,26.747725,130.69551,16194486.809343,396876631.370803,26.747725,130.69551
0;26623352.248126,512818000.096173,26.489987,149.138726,26623352.248126,512818000.096173,26.489987,149.138726;16194487.379638,396876664.907533,26.747726,130.695518,16194487.379638,396876664.907533,26.747726,130.695518
0;26623352.315328,512818003.334678,26.489987,149.138728,26623352.315328,512818003.334678,26.489987,149.138728;16194487.500816,396876680.810922,26.74773,130.695533,16194487.500816,396876680.810922,26.74773,130.695533
0;26623352.492436,512818011.857709,26.489987,149.13873,26623352.492436,512818011.857709,26.489987,149.13873;16194487.744546,396876710.511151,26.747732,130.695542,16194487.744546,396876710.511151,26.747732,130.695542
0;26623352.549076,512818018.53105,26.489988,149.138732,26623352.549076,512818018.53105,26.489988,149.138732;16194487.965068,396876751.797295,26.747737,130.695558,16194487.965068,396876751.797295,26.747737,130.695558
0;26623352.597185,512818025.465937,26.489988,149.138733,26623352.597185,512818025.465937,26.489988,149.138733;16194488.059495,396876766.931553,26.747737,130.695561,16194488.059495,396876766.931553,26.747737,130.695561
0;26623399.644105,512820481.08967,26.489996,149.139076,26623399.644105,512820481.08967,26.489996,149.139076;16196476.840577,396931642.001317,26.748851,130.706188,16196476.840577,396931642.001317,26.748851,130.706188
0;26624101.797751,512886760.582224,26.49027,149.148686,26624101.797751,512886760.582224,26.49027,149.148686;16200527.484506,396946721.106587,26.74851,130.708688,16200527.484506,396946721.106587,26.74851,130.708688
0;26624208.737583,512888617.814574,26.490262,149.148944,26624208.737583,512888617.814574,26.490262,149.148944;16201986.57462,396970292.574299,26.748627,130.712699,16201986.57462,396970292.574299,26.748627,130.712699
0;26624268.362265,512889651.588464,26.490256,149.149095,26624268.362265,512889651.588464,26.490256,149.149095;16203475.393655,397028773.719075,26.748356,130.721115,16203475.393655,397028773.719075,26.748356,130.721115
0;26624410.640925,512890542.301794,26.490242,149.149204,26624410.640925,512890542.301794,26.490242,149.149204;16204722.814618,397034263.294583,26.74835,130.722311,16204722.814618,397034263.294583,26.74835,130.722311
0;26624410.796633,512890548.64157,26.490243,149.149205,26624410.796633,512890548.64157,26.490243,149.149205;16204722.94416,397034284.091938,26.748351,130.722319,16204722.94416,397034284.091938,26.748351,130.722319
0;26624410.880824,512890555.089456,26.490243,149.149207,26624410.880824,512890555.089456,26.490243,149.149207;16204723.033924,397034318.241748,26.748354,130.722329,16204723.033924,397034318.241748,26.748354,130.722329
0;26624411.111209,512890562.034327,26.490244,149.149209,26624411.111209,512890562.034327,26.490244,149.149209;16204723.473378,397034348.588103,26.748357,130.722342,16204723.473378,397034348.588103,26.748357,130.722342
0;26624411.42354,512890570.617294,26.490244,149.149211,26624411.42354,512890570.617294,26.490244,149.149211;16204723.57554,397034353.26978,26.748358,130.722344,16204723.57554,397034353.26978,26.748358,130.722344
0;26624412.307754,512890580.790441,26.490244,149.149213,26624412.307754,512890580.790441,26.490244,149.149213;16204723.758871,397034383.581332,26.74836,130.722354,16204723.758871,397034383.581332,26.74836,130.722354
0;26624412.434261,512890590.481967,26.490244,149.149215,26624412.434261,512890590.481967,26.490244,149.149215;16204723.933689,397034405.725379,26.748362,130.722362,16204723.933689,397034405.725379,26.748362,130.722362
0;26624412.637688,512890595.237133,26.490245,149.149216,26624412.637688,512890595.237133,26.490245,149.149216;16204724.00118,397034431.078353,26.748365,130.722373,16204724.00118,397034431.078353,26.748365,130.722373
0;26624412.724586,512890602.332236,26.490245,149.149218,26624412.724586,512890602.332236,26.490245,149.149218;16204724.110204,397034459.633489,26.748367,130.722382,16204724.110204,397034459.633489,26.748367,130.722382
0;26624412.765978,512890612.99026,26.490245,149.14922,26624412.765978,512890612.99026,26.490245,149.14922;16204725.692299,397034513.100455,26.748369,130.722394,16204725.692299,397034513.100455,26.748369,130.722394
0;26624420.158457,512890916.055787,26.490244,149.149262,26624420.158457,512890916.055787,26.490244,149.149262;16204729.912376,397034621.902259,26.74837,130.722415,16204729.912376,397034621.902259,26.74837,130.722415
0;26624498.632354,512892951.217907,26.490228,149.14951,26624498.632354,512892951.217907,26.490228,149.14951;16204788.702304,397037330.935971,26.748371,130.722861,16204788.702304,397037330.935971,26.748371,130.722861
0;26624796.950328,512903645.839535,26.490354,149.15125,26624796.950328,512903645.839535,26.490354,149.15125;16204869.190585,397040633.074437,26.748342,130.723331,16204869.190585,397040633.074437,26.748342,130.723331
0;26624931.201184,512906811.703,26.490321,149.151652,26624931.201184,512906811.703,26.490321,149.151652;16207366.823809,397240014.398656,26.748185,130.754537,16207366.823809,397240014.398656,26.748185,130.754537
0;26624987.447071,512907893.178337,26.490319,149.151788,26624987.447071,512907893.178337,26.490319,149.151788;16207814.689984,397253261.811498,26.748786,130.75807,16207814.689984,397253261.811498,26.748786,130.75807
0;26625001.538779,512908324.386932,26.490317,149.151839,26625001.538779,512908324.386932,26.490317,149.151839;16208135.898049,397254568.457179,26.748753,130.758282,16208135.898049,397254568.457179,26.748753,130.758282
0;26625001.735508,512908328.084737,26.490317,149.15184,26625001.735508,512908328.084737,26.490317,149.15184;16208136.033662,397254577.407509,26.748753,130.758283,16208136.033662,397254577.407509,26.748753,130.758283
0;26625001.86682,512908330.932746,26.490317,149.15184,26625001.86682,512908330.932746,26.490317,149.15184;16208136.148594,397254581.258449,26.748754,130.758284,16208136.148594,397254581.258449,26.748754,130.758284
