Estimulo;C2;C3;C4
0;10779164.158648,360678537.911595,27.278606,124.856274,10779164.158648,360678537.911595,27.278606,124.856274;14962853.211738,407551671.742034,27.152017,133.115617,14962853.211738,407551671.742034,27.152017,133.115617;16649374.196991,365342649.272769,26.701422,125.576192,16649374.196991,365342649.272769,26.701422,125.576192
0;10779164.644305,360678546.807766,27.278606,124.856276,10779164.644305,360678546.807766,27.278606,124.856276;14962853.781029,407551681.354688,27.152017,133.115618,14962853.781029,407551681.354688,27.152017,133.115618;16649374.742962,365342659.108735,26.701423,125.576195,16649374.742962,365342659.108735,26.701423,125.576195
0;10779164.686084,360678552.56546,27.278606,124.856277,10779164.686084,360678552.56546,27.278606,124.856277;14962853.851472,407551686.951741,27.152017,133.11562,14962853.851472,407551686.951741,27.152017,133.11562;16649374.892973,365342687.189688,26.701425,125.576204,16649374.892973,365342687.189688,26.701425,125.576204
0;10779164.977342,360678557.308063,27.278607,124.856278,10779164.977342,360678557.308063,27.278607,124.856278;14962854.212485,407551690.734475,27.152018,133.115621,14962854.212485,407551690.734475,27.152018,133.115621;16649375.483689,365342720.503303,26.701427,125.576213,16649375.483689,365342720.503303,26.701427,125.576213
0;10779165.028957,360678560.126003,27.278607,124.85628,10779165.028957,360678560.126003,27.278607,124.85628;14962854.270078,407551693.738175,27.152018,133.115622,14962854.270078,407551693.738175,27.152018,133.115622;16649375.606714,365342736.322755,26.701431,125.576228,16649375.606714,365342736.322755,26.701431,125.576228
0;10779165.212164,360678567.268882,27.278607,124.856281,10779165.212164,360678567.268882,27.278607,124.856281;14962854.436354,407551700.766132,27.152018,133.115624,14962854.436354,407551700.766132,27.152018,133.115624;16649375.856447,365342766.153499,26.701433,125.576238,16649375.856447,365342766.153499,26.701433,125.576238
0;10779165.260998,360678572.120024,27.278608,124.856283,10779165.260998,360678572.120024,27.278608,124.856283;14962854.532259,407551705.534832,27.152018,133.115625,14962854.532259,407551705.534832,27.152018,133.115625;16649376.069899,365342807.280637,26.701438,125.576254,16649376.069899,365342807.280637,26.701438,125.576254
0;10779165.318259,360678578.140994,27.278608,124.856284,10779165.318259,360678578.140994,27.278608,124.856284;14962854.599867,407551710.788554,27.152018,133.115626,14962854.599867,407551710.788554,27.152018,133.115626;16649376.156954,365342822.526109,26.701439,125.576258,16649376.156954,365342822.526109,26.701439,125.576258
0;10779168.159159,360678592.48368,27.278608,124.856288,10779168.159159,360678592.48368,27.278608,124.856288;14962856.046755,407551723.181235,27.152019,133.115628,14962856.046755,407551723.181235,27.152019,133.115628;16649646.240501,365377164.858262,26.705035,125.588225,16649646.240501,365377164.858262,26.705035,125.588225
0;10779174.049672,360679029.857996,27.27861,124.856367,10779174.049672,360679029.857996,27.27861,124.856367;14962878.630395,407552495.237601,27.15201,133.115731,14962878.630395,407552495.237601,27.15201,133.115731;16652208.673393,365392813.477803,26.704695,125.590668,16652208.673393,365392813.477803,26.704695,125.590668
