Time;Instruction
2025-05-15 15:30:28.901491;1
2025-05-15 15:30:31.237067;2
2025-05-15 15:30:33.572529;3
2025-05-15 15:30:35.943528;4
2025-05-15 15:30:42.326811;3
2025-05-15 15:30:44.743382;3
2025-05-15 15:30:47.171134;3
2025-05-15 15:30:49.522015;2
2025-05-15 15:30:51.937734;1
2025-05-15 15:30:54.305751;1
2025-05-15 15:30:56.760321;2
2025-05-15 15:30:59.250624;2
2025-05-15 15:31:01.582399;4
2025-05-15 15:31:03.965055;4
2025-05-15 15:31:06.292662;4
2025-05-15 15:31:08.733960;3
2025-05-15 15:31:11.090211;3
2025-05-15 15:31:13.471394;2
2025-05-15 15:31:15.953788;4
2025-05-15 15:31:18.297528;1
2025-05-15 15:31:20.666444;2
2025-05-15 15:31:22.972106;4
2025-05-15 15:31:25.443752;1
2025-05-15 15:31:27.723908;2
2025-05-15 15:31:30.094692;4
2025-05-15 15:31:32.480802;3
2025-05-15 15:31:34.886610;2
2025-05-15 15:31:37.169407;3
2025-05-15 15:31:39.545519;1
2025-05-15 15:31:41.994486;2
2025-05-15 15:31:44.292975;3
2025-05-15 15:31:46.688942;1
2025-05-15 15:31:49.066920;4
2025-05-15 15:31:51.534657;3
2025-05-15 15:31:54.011898;1
2025-05-15 15:31:56.361456;1
2025-05-15 15:31:58.635023;3
2025-05-15 15:32:01.057258;3
2025-05-15 15:32:03.453903;4
2025-05-15 15:32:05.921384;3
2025-05-15 15:32:08.359204;1
2025-05-15 15:32:10.806486;1
2025-05-15 15:32:13.161149;4
2025-05-15 15:32:15.488255;2
2025-05-15 15:32:17.791789;1
2025-05-15 15:32:20.143667;1
2025-05-15 15:32:22.530002;2
2025-05-15 15:32:24.943947;4
2025-05-15 15:32:27.289971;3
2025-05-15 15:32:29.779952;4
2025-05-15 15:32:32.213621;2
2025-05-15 15:32:34.707843;4
2025-05-15 15:32:37.082181;3
2025-05-15 15:32:39.507717;3
2025-05-15 15:32:41.979368;1
2025-05-15 15:32:44.302949;1
2025-05-15 15:32:46.638541;1
2025-05-15 15:32:48.943268;4
2025-05-15 15:32:51.299498;4
2025-05-15 15:32:53.618807;2
2025-05-15 15:32:55.945806;2
2025-05-15 15:32:58.428476;4
2025-05-15 15:33:00.705233;2
2025-05-15 15:33:03.091641;2
