Time;Instruction
2025-05-15 12:25:04.266802;1
2025-05-15 12:25:06.659999;2
2025-05-15 12:25:09.037288;3
2025-05-15 12:25:11.485397;4
2025-05-15 12:25:17.974905;4
2025-05-15 12:25:20.372929;2
2025-05-15 12:25:22.724139;2
2025-05-15 12:25:25.147114;3
2025-05-15 12:25:27.504827;3
2025-05-15 12:25:29.808860;3
2025-05-15 12:25:32.169631;2
2025-05-15 12:25:34.647389;1
2025-05-15 12:25:37.006663;2
2025-05-15 12:25:39.307029;1
2025-05-15 12:25:41.650079;1
2025-05-15 12:25:44.083840;4
2025-05-15 12:25:46.556297;3
2025-05-15 12:25:48.901815;4
2025-05-15 12:25:51.389030;3
2025-05-15 12:25:53.853229;2
2025-05-15 12:25:56.187412;4
2025-05-15 12:25:58.541367;1
2025-05-15 12:26:01.030119;1
2025-05-15 12:26:03.553003;4
2025-05-15 12:26:05.982469;3
2025-05-15 12:26:08.429968;3
2025-05-15 12:26:10.825883;2
2025-05-15 12:26:13.131960;2
2025-05-15 12:26:15.615459;1
2025-05-15 12:26:18.054945;3
2025-05-15 12:26:20.517386;1
2025-05-15 12:26:22.834531;1
2025-05-15 12:26:25.342579;3
2025-05-15 12:26:27.810752;3
2025-05-15 12:26:30.154730;1
2025-05-15 12:26:32.484666;2
2025-05-15 12:26:34.908473;2
2025-05-15 12:26:37.333233;3
2025-05-15 12:26:39.817299;4
2025-05-15 12:26:42.204291;1
2025-05-15 12:26:44.674111;3
2025-05-15 12:26:47.006757;4
2025-05-15 12:26:49.398421;2
2025-05-15 12:26:51.797005;4
2025-05-15 12:26:54.328016;1
2025-05-15 12:26:56.696855;3
2025-05-15 12:26:59.144852;4
2025-05-15 12:27:01.549092;4
2025-05-15 12:27:04.046100;4
2025-05-15 12:27:06.465415;2
2025-05-15 12:27:08.924375;4
2025-05-15 12:27:11.360257;3
2025-05-15 12:27:13.698014;1
2025-05-15 12:27:16.187966;2
2025-05-15 12:27:18.538919;2
2025-05-15 12:27:21.011905;4
2025-05-15 12:27:23.388874;4
2025-05-15 12:27:25.821346;2
2025-05-15 12:27:28.332864;1
2025-05-15 12:27:30.718069;4
2025-05-15 12:27:33.145437;1
2025-05-15 12:27:35.498111;1
2025-05-15 12:27:37.927948;3
2025-05-15 12:27:40.282610;2
