Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:40:55.364918;2025-05-15 15:40:57.050175;340671.243519,24457251.219646,32.555688,36.054808;831052.528381,35180825.113207,29.793325,40.85032;411882.287305,24488413.538693,33.007935,36.501757;934812.332888,33570680.860474,30.684035,40.848705;842311.620476,38108680.033117,29.877433,42.662863
2025-05-15 15:40:57.051180;2025-05-15 15:40:57.547960;340672.289097,24457273.988976,32.555687,36.054827;831053.525037,35180916.66798,29.793334,40.850388;411883.510409,24488540.646195,33.007925,36.501854;934813.524583,33570801.327526,30.68404,40.848792;842312.537031,38108723.324485,29.877432,42.662888
2025-05-15 15:40:57.548957;2025-05-15 15:40:58.027620;340672.321629,24457286.937438,32.555694,36.054845;831055.782156,35181004.363975,29.793371,40.850484;411886.295471,24488659.024884,33.00795,36.501989;934816.028664,33570919.07599,30.684077,40.848914;842312.891033,38108755.360461,29.877441,42.662918
2025-05-15 15:40:58.029613;2025-05-15 15:40:58.638131;340674.744741,24457323.795161,32.555686,36.054866;831059.247805,35181110.269944,29.793373,40.850547;411890.305509,24488794.831147,33.007935,36.502078;934819.907826,33571049.470472,30.684076,40.848992;842315.631724,38108801.250656,29.877438,42.662941
2025-05-15 15:40:58.640123;2025-05-15 15:40:59.124900;340675.111355,24457360.179918,32.555687,36.054895;831059.925218,35181274.306517,29.793407,40.850673;411891.019057,24489004.164258,33.007952,36.502249;934820.651416,33571265.270262,30.684111,40.849153;842316.075846,38108861.811162,29.877446,42.662981
2025-05-15 15:40:59.124900;2025-05-15 15:40:59.809733;340675.932725,24457432.886013,32.555684,36.054944;831060.759242,35181473.577701,29.793446,40.850815;411892.004958,24489255.622953,33.007969,36.502442;934821.988018,33571525.990249,30.684149,40.849335;842317.706305,38108961.298894,29.877453,42.663041
2025-05-15 15:40:59.810763;2025-05-15 15:41:00.845077;340679.928908,24457511.579883,32.555677,36.054999;831065.022454,35181840.728814,29.793473,40.851046;411897.337693,24489734.732185,33.007942,36.50277;934827.844554,33572025.942646,30.684167,40.849649;842320.100543,38109081.995466,29.877458,42.663112
2025-05-15 15:41:00.846074;2025-05-15 15:41:01.906055;340680.289793,24457526.165948,32.555678,36.055011;831066.146639,35181892.346738,29.79349,40.8511;411898.641935,24489804.255057,33.007951,36.502845;934829.064551,33572097.752017,30.684185,40.849721;842320.687133,38109099.986839,29.877462,42.663128
2025-05-15 15:41:01.907053;2025-05-15 15:41:02.965717;340682.919104,24457711.581403,32.555649,36.055113;831068.948175,35182036.516747,29.793524,40.851207;411901.948801,24489981.135202,33.007978,36.502998;934832.046744,33572318.467041,30.684223,40.849879;842323.641192,38109173.63531,29.87747,42.663173
2025-05-15 15:41:02.965717;2025-05-15 15:41:04.026461;340692.442675,24457776.715902,32.555658,36.055174;831073.228818,35182172.74318,29.793587,40.851326;411903.869414,24490146.3476,33.008041,36.503155;934834.542186,33572538.883279,30.684284,40.850045;842329.994667,38109305.663723,29.877468,42.663244
