Estimulo;C1;C2;C3;C4;C5
0;1546611.999359,39153743.59495,28.584579,42.526721;877982.947663,41640544.731359,28.453531,43.180197;838358.655871,38008885.600251,28.683824,41.43958;962242.760711,38954050.725888,28.865404,42.211074;813872.396211,38469327.561833,28.060507,41.184274
0;1546612.5537,39153752.451523,28.584583,42.526729;877983.539493,41640570.056647,28.453539,43.180218;838359.17191,38008892.902004,28.683826,41.439586;962243.287587,38954060.910757,28.865408,42.211083;813872.848628,38469341.869333,28.060513,41.184287
0;1546612.619553,39153756.957175,28.584585,42.526734;877983.564135,41640584.895271,28.453544,43.180232;838359.248902,38008897.913215,28.683827,41.43959;962243.322959,38954067.666299,28.86541,42.211089;813872.874296,38469349.817455,28.060517,41.184294
0;1546612.73559,39153779.254915,28.584601,42.526759;877984.033083,41640681.797302,28.453586,43.180316;838359.315977,38008909.828898,28.683835,41.439603;962243.438681,38954104.223476,28.865429,42.211124;813873.027573,38469403.782112,28.060549,41.184349
0;1546613.339152,39153802.214538,28.584615,42.526782;877986.539297,41640771.453337,28.453625,43.180395;838359.55294,38008925.004697,28.683842,41.439616;962244.359162,38954139.423364,28.865446,42.211156;813874.213278,38469461.976983,28.060577,41.184399
0;1546613.443416,39153838.416979,28.584622,42.526807;877986.69379,41640868.222299,28.453643,43.180459;838359.62264,38008941.006571,28.683846,41.439628;962244.448214,38954174.747962,28.865455,42.211183;813874.344382,38469519.222718,28.06059,41.184441
0;1546613.718261,39153856.925661,28.584631,42.526823;877987.294661,41640949.351863,28.453667,43.180516;838359.781134,38008951.068559,28.683851,41.439636;962244.698126,38954204.253221,28.865466,42.211205;813874.690142,38469569.850558,28.060607,41.184477
0;1546613.732434,39153866.152388,28.584633,42.526829;877987.429009,41640975.075856,28.453673,43.180534;838359.802917,38008956.677583,28.683852,41.43964;962244.758645,38954213.691291,28.865468,42.211212;813874.850726,38469585.911823,28.060611,41.184489
0;1546613.749029,39153870.068871,28.584636,42.526834;877987.937435,41640987.718797,28.453679,43.180547;838359.858631,38008959.042339,28.683854,41.439643;962244.92153,38954219.269133,28.865471,42.211218;813875.555394,38469596.471377,28.060615,41.184499
0;1546613.995612,39153886.229394,28.58465,42.526853;877988.882006,41641044.693703,28.453713,43.180601;838359.906715,38008968.288016,28.683861,41.439654;962245.272576,38954239.064707,28.865485,42.211239;813876.480844,38469631.170524,28.060639,41.184534
0;1546614.206295,39153902.482415,28.584658,42.526868;877989.2651,41641100.146979,28.453734,43.180645;838359.936831,38008976.80027,28.683865,41.439661;962245.417693,38954259.326075,28.865494,42.211256;813876.644607,38469669.012576,28.060654,41.184564
