Estimulo;C1;C2;C3;C4;C5
0;1547397.182844,39186905.12872,28.589975,42.548239;879308.121769,41687915.285963,28.462588,43.212566;838593.448299,38016100.890372,28.685706,41.44504;962716.149546,38970224.975921,28.86888,42.222643;814883.422746,38500137.440315,28.067087,41.206103
0;1547397.508497,39186945.240458,28.589992,42.548273;879308.741606,41688004.889627,28.462607,43.212628;838593.76501,38016120.756497,28.685711,41.445055;962716.437352,38970249.666376,28.868886,42.222661;814883.817024,38500188.804057,28.067099,41.206141
0;1547398.545676,39186956.913795,28.589998,42.548286;879311.057576,41688024.345114,28.462627,43.212662;838594.762038,38016129.86319,28.685715,41.445064;962717.743945,38970261.136877,28.868891,42.222674;814885.41658,38500206.511292,28.067112,41.206165
0;1547398.748642,39186965.707509,28.590004,42.548296;879311.587577,41688045.27509,28.462641,43.212685;838594.886657,38016137.028389,28.685718,41.44507;962717.935185,38970269.153115,28.868895,42.222681;814886.008035,38500221.030545,28.067121,41.20618
0;1547403.953053,39187041.817066,28.590029,42.548364;879323.88444,41688378.979078,28.462682,43.21291;838596.075747,38016184.776544,28.685727,41.445105;962719.208548,38970356.135671,28.868908,42.222739;814895.769357,38500491.497904,28.06715,41.206357
0;1547404.377831,39187075.007125,28.590039,42.548388;879325.039682,41688486.785988,28.462707,43.212982;838596.413006,38016202.735624,28.685732,41.445118;962719.517029,38970380.441677,28.868916,42.222757;814896.435075,38500554.173785,28.067168,41.206401
0;1547404.439872,39187103.921514,28.590045,42.548407;879325.290117,41688569.050487,28.462724,43.213034;838596.458747,38016220.563578,28.685736,41.44513;962719.602403,38970404.682484,28.868921,42.222774;814896.585684,38500610.953711,28.067179,41.206437
0;1547404.822618,39187116.241816,28.590052,42.54842;879325.663336,41688620.460573,28.462739,43.213077;838596.621591,38016229.58722,28.68574,41.445139;962719.762764,38970418.577213,28.868926,42.222786;814896.803443,38500644.113006,28.06719,41.206465
0;1547405.982485,39187139.643578,28.590058,42.548439;879326.564279,41688674.878205,28.462758,43.213124;838596.981645,38016245.870458,28.685745,41.445152;962720.152314,38970440.739406,28.868932,42.222804;814897.209781,38500682.692604,28.067204,41.206499
0;1547406.624497,39187164.539797,28.590064,42.548455;879326.592167,41688741.434563,28.462779,43.21317;838597.084011,38016257.314814,28.685749,41.445161;962720.217059,38970457.454148,28.868938,42.222816;814897.296275,38500725.256784,28.067219,41.20653
0;1547406.759754,39187181.272988,28.590073,42.548472;879326.842364,41688806.638338,28.462805,43.213224;838597.210716,38016269.849976,28.685755,41.445172;962720.317502,38970475.252945,28.868944,42.222831;814897.52599,38500769.637119,28.067235,41.206565
0;1547406.808086,39187189.629209,28.590075,42.548477;879327.102422,41688825.027364,28.462808,43.213237;838597.336016,38016277.33856,28.685756,41.445177;962720.422544,38970484.255447,28.868946,42.222836;814897.710746,38500783.945894,28.067238,41.206575
0;1547410.483237,39187273.22889,28.590095,42.548541;879336.083328,41689066.013292,28.46286,43.213412;838598.565806,38016309.24061,28.685767,41.445205;962722.720377,38970532.732927,28.868961,42.222878;814903.852422,38500922.916645,28.067275,41.206684
0;1547413.928976,39187381.562488,28.590105,42.548604;879344.9704,41689245.604439,28.462877,43.213522;838600.790134,38016337.392762,28.68577,41.445225;962725.364359,38970578.133186,28.868965,42.222908;814908.021483,38501019.720972,28.06729,41.206751
0;1547414.21954,39187400.529442,28.590115,42.548622;879345.599583,41689313.430474,28.462907,43.213579;838600.991003,38016349.730821,28.685776,41.445236;962725.54694,38970596.272805,28.868974,42.222924;814908.468856,38501063.290258,28.067308,41.206787
0;1547414.415081,39187408.815498,28.590123,42.548633;879345.689026,41689346.077836,28.462933,43.213618;838601.060961,38016354.804484,28.685781,41.445243;962725.593163,38970605.46186,28.868981,42.222935;814908.622144,38501089.009632,28.067325,41.206814
0;1547414.633754,39187449.5913,28.590136,42.548664;879346.17312,41689493.658928,28.462968,43.213719;838601.198473,38016379.210239,28.685789,41.445262;962725.794085,38970642.571933,28.868992,42.222963;814909.032197,38501183.217137,28.06735,41.20688
0;1547414.838046,39187475.107681,28.590149,42.548688;879346.795894,41689584.339343,28.463003,43.213793;838601.392975,38016396.264242,28.685797,41.445278;962726.025845,38970668.393821,28.869002,42.222985;814909.528834,38501242.222789,28.067373,41.206928
0;1547415.346689,39187500.674037,28.590157,42.548708;879348.627462,41689683.318453,28.463023,43.213858;838601.649194,38016412.725683,28.685802,41.445291;962726.468145,38970688.230736,28.869009,42.223001;814911.105177,38501296.599602,28.067388,41.206968
0;1547415.375612,39187519.791444,28.590166,42.548726;879348.734237,41689745.604224,28.463049,43.213912;838601.66669,38016428.159054,28.685807,41.445302;962726.484263,38970707.960497,28.869015,42.223017;814911.239654,38501339.137264,28.067405,41.207003
0;1547415.475023,39187534.735466,28.590173,42.548738;879349.151361,41689792.653231,28.463067,43.213949;838601.738687,38016436.516247,28.68581,41.445309;962726.594979,38970718.381953,28.86902,42.223026;814911.542326,38501365.578635,28.067417,41.207025
0;1547415.634905,39187539.23474,28.590175,42.548742;879350.234708,41689807.395467,28.463072,43.213961;838601.937368,38016439.218044,28.685812,41.445312;962726.911341,38970723.26939,28.869021,42.22303;814912.331434,38501377.099888,28.067419,41.207035
1;1547415.696869,39187559.250299,28.590193,42.54877;879350.274949,41689899.695654,28.463122,43.214059;838601.951739,38016450.865722,28.685823,41.445329;962726.929321,38970740.594782,28.869036,42.223054;814912.368388,38501432.233732,28.067453,41.207096
0;1547418.234968,39187608.869809,28.590232,42.548834;879356.410813,41690052.326309,28.463217,43.214238;838602.939495,38016476.164799,28.685842,41.44536;962728.529093,38970776.083069,28.869063,42.223099;814915.727739,38501527.328193,28.06752,41.207211
4;1547418.732759,39187632.513292,28.59024,42.548854;879357.333071,41690143.226477,28.46324,43.214301;838603.445036,38016493.729563,28.685846,41.445373;962729.292054,38970798.77679,28.869069,42.223116;814916.582328,38501586.196746,28.067535,41.207253
0;1547419.236733,39187649.511309,28.590241,42.548865;879358.247119,41690159.25516,28.463245,43.214315;838603.928105,38016498.625375,28.685847,41.445377;962729.809167,38970804.288948,28.869071,42.223121;814917.454388,38501598.105348,28.067538,41.207262
3;1547419.55532,39187682.256695,28.590245,42.548887;879359.029787,41690199.653018,28.463271,43.214364;838604.430168,38016509.245664,28.685851,41.445388;962730.32325,38970817.408815,28.869077,42.223135;814918.26184,38501623.635634,28.067556,41.207296
0;1547419.911135,39187698.058932,28.590253,42.548902;879359.939324,41690261.905756,28.463295,43.214415;838604.741816,38016519.608548,28.685857,41.445398;962730.498993,38970831.335668,28.869084,42.223148;814918.846687,38501660.7634,28.067573,41.207328
0;1547421.509401,39187735.621279,28.590258,42.548926;879360.963809,41690348.266318,28.463313,43.214475;838606.115587,38016540.43505,28.68586,41.445412;962731.571467,38970856.739708,28.86909,42.223166;814919.731154,38501725.183643,28.067584,41.207371
4;1547422.314777,39187746.461842,28.59026,42.548933;879361.546835,41690386.707893,28.463318,43.214497;838606.402273,38016546.839572,28.685861,41.445417;962732.083222,38970864.050029,28.869091,42.223172;814921.528648,38501740.378209,28.067587,41.207382
0;1547422.840498,39187768.319936,28.590259,42.548944;879362.409106,41690414.256827,28.46332,43.214512;838607.046768,38016555.342442,28.685861,41.445422;962732.9085,38970873.569902,28.869091,42.223178;814923.795237,38501765.676147,28.067587,41.207396
2;1547423.117414,39187794.156887,28.590265,42.548962;879362.671115,41690491.899665,28.46334,43.214568;838607.243187,38016573.164444,28.685864,41.445434;962732.990311,38970895.628698,28.869097,42.223194;814923.976295,38501811.617232,28.067602,41.207433
0;1547435.144439,39188240.296316,28.590566,42.549431;879403.158181,41691971.340709,28.463995,43.215851;838614.269677,38016759.114126,28.685998,41.445637;962743.578046,38971200.782652,28.869286,42.223505;814949.263208,38502717.093465,28.068062,41.208254
2;1547435.718488,39188257.139905,28.590573,42.549446;879403.270851,41692033.288868,28.464014,43.215897;838614.320127,38016768.371296,28.686003,41.445646;962743.707876,38971214.823803,28.869292,42.223517;814949.374299,38502755.623005,28.068075,41.208285
0;1547443.789001,39188368.197791,28.590663,42.549586;879433.104096,41692429.882648,28.464208,43.216292;838617.707395,38016814.664213,28.686044,41.445707;962750.169589,38971292.395042,28.869349,42.223613;814967.768531,38502992.605293,28.068214,41.208536
2;1547450.135522,39188384.192212,28.590674,42.549611;879447.466912,41692475.353517,28.464236,43.21636;838621.623379,38016824.177313,28.68605,41.445721;962755.744322,38971306.070606,28.869358,42.223633;814978.48862,38503024.191296,28.068234,41.208582
0;1547454.99404,39188451.197243,28.59068,42.549652;879466.738914,41692671.931758,28.46425,43.216479;838624.432135,38016852.637858,28.686054,41.445741;962760.610712,38971351.128138,28.869362,42.223663;814991.8176,38503145.638455,28.068245,41.208661
0;1547457.774377,39188655.587024,28.590801,42.549847;879476.907486,41693322.956929,28.464519,43.217015;838626.366698,38016947.137463,28.686107,41.44583;962763.309073,38971509.088662,28.869436,42.223801;814998.018742,38503597.133868,28.068428,41.209027
1;1547458.612721,39188685.469824,28.590806,42.549865;879479.336529,41693417.130066,28.464533,43.217069;838627.018231,38016964.125405,28.686111,41.445841;962764.176276,38971531.628753,28.869442,42.223816;814999.824741,38503659.584287,28.068439,41.209065
0;1547459.007964,39188750.872468,28.590835,42.549918;879482.894442,41693554.931789,28.464605,43.217192;838627.685388,38016990.493405,28.686125,41.445865;962765.094815,38971570.330713,28.869461,42.22385;815001.820744,38503740.422996,28.068489,41.209142
3;1547459.711529,39188766.413044,28.590841,42.549931;879483.22597,41693611.293461,28.464622,43.217234;838627.859347,38016998.384932,28.68613,41.445873;962765.231372,38971582.732377,28.869466,42.223861;815001.975991,38503780.56001,28.0685,41.209171
0;1547459.866248,39188793.871658,28.590846,42.549948;879483.357605,41693673.143068,28.464639,43.217277;838627.8792,38017009.537338,28.686134,41.445882;962765.294461,38971598.959144,28.869472,42.223873;815002.758043,38503831.612846,28.06851,41.209204
4;1547460.238171,39188808.705946,28.59085,42.549959;879484.706318,41693724.823244,28.464651,43.217312;838628.124125,38017019.582359,28.686137,41.445889;962765.718273,38971612.175433,28.869475,42.223883;815003.114,38503889.552358,28.068515,41.209238
0;1547460.466659,39188827.375634,28.590852,42.54997;879486.159345,41693773.877484,28.464657,43.217343;838628.961567,38017034.098964,28.686136,41.445897;962765.961135,38971626.160997,28.869475,42.22389;815003.798213,38503917.37018,28.068517,41.209254
0;1547460.70433,39188844.21482,28.590856,42.549982;879486.498733,41693833.02984,28.464667,43.217381;838629.074932,38017044.921465,28.686139,41.445905;962766.041983,38971639.38885,28.869479,42.2239;815003.992748,38503952.110446,28.068525,41.209278
3;1547460.838949,39188854.968971,28.590856,42.549988;879486.844507,41693856.889489,28.464668,43.217393;838629.254226,38017051.278149,28.686139,41.445908;962766.130789,38971648.782696,28.869479,42.223905;815004.163715,38503966.160421,28.068526,41.209286
0;1547461.365336,39188880.029416,28.59086,42.550004;879487.495511,41693890.346208,28.464681,43.217423;838629.869018,38017061.884642,28.686141,41.445916;962766.977785,38971661.742176,28.869482,42.223915;815004.946709,38503985.985875,28.068539,41.209307
4;1547461.454605,39188896.911327,28.590863,42.550014;879487.800612,41693939.178509,28.464691,43.217455;838630.019674,38017071.784136,28.686143,41.445923;962767.045675,38971672.211318,28.869485,42.223923;815005.0243,38504019.36384,28.068544,41.209327
0;1547462.650939,39188914.708437,28.590868,42.550028;879489.708417,41693997.494212,28.4647,43.217489;838631.13818,38017081.644926,28.686145,41.44593;962768.073753,38971682.669378,28.869488,42.223931;815005.206651,38504058.75126,28.068552,41.209351
4;1547462.734477,39188935.472435,28.590871,42.55004;879490.080291,41694059.619945,28.464711,43.217528;838631.154247,38017095.730281,28.686147,41.445938;962768.112166,38971697.056642,28.869491,42.223941;815005.498153,38504104.276375,28.06856,41.20938
0;1547462.922257,39188968.47664,28.590874,42.55006;879490.970123,41694114.184434,28.464728,43.217574;838631.262157,38017104.868535,28.68615,41.445946;962768.251446,38971706.984298,28.869496,42.22395;815005.923826,38504130.205353,28.068571,41.209404
1;1547463.00662,39188978.568774,28.590877,42.550068;879492.258758,41694160.305536,28.464736,43.217603;838631.294671,38017112.155248,28.686152,41.445952;962768.304576,38971717.148921,28.869498,42.223958;815006.023858,38504165.321297,28.068576,41.209426
0;1547464.93926,39189018.772528,28.590933,42.550139;879498.195269,41694286.288798,28.464873,43.217797;838632.418616,38017127.998244,28.686178,41.445983;962769.865341,38971744.51721,28.869535,42.224005;815009.612218,38504246.463038,28.068672,41.209551
0;1547465.579744,39189053.354431,28.590949,42.550172;879500.75572,41694356.974051,28.464922,43.217882;838632.808672,38017141.513588,28.686189,41.446;962770.239056,38971769.054944,28.869548,42.22403;815010.545974,38504302.876885,28.068706,41.209611
1;1547466.404386,39189076.862481,28.590957,42.55019;879502.467303,41694421.648377,28.464946,43.217933;838633.259149,38017156.573568,28.686193,41.446012;962770.875575,38971786.779778,28.869554,42.224044;815011.439835,38504340.515399,28.068723,41.209642
0;1547467.476388,39189128.341314,28.59097,42.550226;879506.162535,41694578.452339,28.464979,43.218036;838633.803283,38017182.115576,28.6862,41.44603;962771.940097,38971825.808173,28.869563,42.224071;815013.348484,38504442.526739,28.068747,41.20971
4;1547467.482578,39189146.893408,28.590977,42.55024;879506.453584,41694630.112658,28.464996,43.218072;838633.896307,38017191.242795,28.686204,41.446037;962772.031168,38971841.065409,28.869568,42.224081;815013.827267,38504480.261685,28.068758,41.209736
0;1547468.545971,39189189.286169,28.590976,42.550262;879508.583827,41694666.746724,28.465003,43.218098;838634.002332,38017200.305096,28.686205,41.446043;962772.279675,38971853.726358,28.869569,42.224089;815015.713341,38504523.589896,28.068762,41.20976
1;1547468.892006,39189216.593694,28.590987,42.550285;879509.272439,41694752.161328,28.465034,43.21817;838634.103789,38017214.847345,28.686211,41.446057;962772.449989,38971872.77993,28.869578,42.224107;815016.325914,38504587.898157,28.068784,41.209812
0;1547469.335031,39189261.766565,28.591005,42.550321;879510.983843,41694917.064749,28.46507,43.218279;838634.440973,38017241.345743,28.686219,41.446076;962772.853756,38971913.81192,28.869588,42.224136;815017.392438,38504694.664399,28.06881,41.209885
