Estimulo;C1;C2;C3;C4;C5
0;339172.053496,24415433.318739,32.554596,36.022087;827876.80552,35034551.34455,29.76221,40.73644;406573.666218,24218519.647987,32.989687,36.27678;927332.277989,33203240.130616,30.639364,40.578299;794768.912616,37133910.606504,29.942485,42.150582
0;339172.288632,24415451.028118,32.554594,36.022098;827877.125855,35034584.725981,29.762212,40.736459;406574.216474,24218568.696272,32.989688,36.276817;927332.779546,33203290.527678,30.63937,40.578334;794814.396549,37134511.5532,29.942452,42.150927
0;339173.484103,24415468.190939,32.554592,36.02211;827878.463626,35034629.1001,29.76222,40.736494;406575.95585,24218665.619022,32.989697,36.2769;927334.998907,33203388.30446,30.639388,40.578412;794814.750433,37134569.283797,29.942475,42.151003
0;339173.889459,24415485.305999,32.554597,36.022127;827879.546392,35034680.12389,29.762252,40.736553;406577.850054,24218769.211866,32.989749,36.277036;927337.721215,33203486.299123,30.639453,40.57854;794818.725862,37134806.212973,29.942548,42.151208
0;339174.065655,24415500.526712,32.5546,36.02214;827879.816354,35034728.843609,29.762271,40.736598;406578.644081,24218869.550233,32.98978,36.277142;927338.490137,33203590.989746,30.639493,40.578641;794819.542135,37134850.878679,29.942564,42.151247
0;339174.346956,24415509.130483,32.5546,36.022147;827881.138358,35034769.444078,29.762276,40.736628;406581.516831,24218964.985689,32.989777,36.277216;927341.739037,33203694.641874,30.639498,40.578713;794820.222483,37134870.460364,29.942566,42.15126
0;339176.200517,24415549.367647,32.554596,36.022172;827884.823111,35034880.77428,29.762293,40.736701;406587.489565,24219198.668792,32.989793,36.277389;927348.277984,33203935.790841,30.639536,40.578878;794863.045282,37136520.630392,29.942399,42.151997
0;339179.737733,24415570.417602,32.554592,36.022188;827892.053124,35034929.370515,29.762297,40.736741;406599.659813,24219314.347226,32.989785,36.27749;927359.518625,33204047.836066,30.639544,40.578971;794873.886758,37136605.31063,29.942399,42.152051
0;339180.796405,24415590.838163,32.554587,36.0222;827894.323381,35034967.49616,29.762298,40.736768;406603.514881,24219402.108626,32.989777,36.277557;927362.939181,33204138.259453,30.639546,40.579034;794878.076389,37136634.345242,29.942398,42.15207
0;339181.683709,24415637.204199,32.554592,36.02224;827896.671424,35035117.412339,29.76235,40.736907;406610.685982,24219726.759846,32.989846,36.277889;927368.332677,33204474.674682,30.639651,40.579348;794886.144138,37136976.623615,29.942427,42.152289
0;339181.798988,24415650.128355,32.554594,36.022251;827897.35233,35035193.040815,29.762363,40.736959;406612.302592,24219909.599366,32.98985,36.278023;927369.965632,33204676.751311,30.639674,40.579483;794886.306924,37137004.462325,29.94243,42.152307
0;339186.275868,24415687.183713,32.554586,36.022276;827901.553505,35035304.921735,29.762369,40.737033;406618.635346,24220144.925334,32.989836,36.278201;927375.823741,33204931.273117,30.639684,40.579657;794890.826569,37137069.110384,29.942425,42.152342
0;339194.30564,24415766.24735,32.554572,36.022328;827909.850019,35035512.429906,29.762393,40.737174;406627.692101,24220581.6068,32.989842,36.278525;927384.244662,33205394.118355,30.639737,40.579974;794898.833356,37137174.222863,29.942424,42.152404
0;339194.853356,24415776.548994,32.554574,36.022338;827910.205942,35035561.905602,29.76241,40.737216;406628.169609,24220707.525346,32.989863,36.278633;927384.881379,33205527.520791,30.63977,40.580079;794899.105377,37137195.237337,29.942429,42.15242
0;339194.925999,24415787.347705,32.554574,36.022346;827910.665744,35035605.759701,29.762414,40.737244;406629.360531,24220804.068094,32.989859,36.2787;927385.887274,33205625.444153,30.639777,40.580142;794899.346935,37137209.931129,29.94243,42.152429
0;339194.970786,24415797.236463,32.554581,36.02236;827910.720619,35035652.727649,29.762446,40.737304;406629.617517,24220911.060788,32.989912,36.278844;927386.298893,33205739.260204,30.639843,40.580285;794899.367644,37137227.305746,29.94244,42.15245
0;339195.063506,24415806.481858,32.554583,36.022368;827911.66419,35035706.584059,29.762459,40.737344;406632.628763,24221043.004516,32.989923,36.278948;927389.625891,33205878.72461,30.639867,40.580387;794899.606185,37137244.212463,29.942445,42.152463
1;339195.104108,24415823.259944,32.554585,36.022382;827912.049012,35035775.507239,29.762483,40.737403;406633.904158,24221199.630454,32.989956,36.279096;927390.761997,33206048.372643,30.639919,40.580535;794899.710891,37137274.923635,29.942452,42.152486
0;339196.841173,24415863.931746,32.554581,36.022409;827915.067757,35035849.793287,29.762514,40.73747;406638.719725,24221325.386759,32.990022,36.279238;927395.520701,33206184.011835,30.639999,40.580679;794901.993435,37137314.707676,29.94246,42.152515
4;339197.222717,24415881.926377,32.554579,36.02242;827916.428715,35035905.478158,29.762515,40.737505;406640.999678,24221451.161164,32.990011,36.279326;927398.129654,33206324.323071,30.64,40.580766;794902.92097,37137365.545616,29.94246,42.152545
0;339198.011361,24415900.057533,32.554582,36.022436;827917.041588,35035975.152416,29.762539,40.737563;406641.77046,24221620.270418,32.990039,36.279472;927399.056835,33206505.279463,30.640046,40.580909;794903.476987,37137429.338742,29.942476,42.152593
1;339198.231658,24415922.635941,32.554586,36.022454;827917.609502,35036036.622114,29.762576,40.73763;406643.355397,24221763.155882,32.990104,36.279639;927400.384413,33206662.957012,30.640129,40.581079;794903.793589,37137457.91609,29.942492,42.152623
0;339198.923267,24415942.155337,32.554594,36.022474;827919.957515,35036123.814933,29.76263,40.737718;406649.504929,24221968.64733,32.9902,36.279855;927406.70431,33206882.152261,30.640249,40.581296;794904.788602,37137498.301848,29.942515,42.152663
0;339199.082919,24415956.340248,32.554594,36.022485;827920.612605,35036173.804631,29.762641,40.737757;406650.862821,24222073.91096,32.99021,36.279949;927408.284989,33206994.851763,30.64027,40.581389;794905.029398,37137539.087528,29.942518,42.152689
3;339200.786963,24415976.056315,32.554594,36.022501;827921.517988,35036232.672119,29.762658,40.737809;406651.634961,24222205.040768,32.990231,36.280073;927409.014432,33207135.76395,30.640306,40.581511;794905.66885,37137590.550759,29.942533,42.152731
0;339201.604102,24416033.725363,32.554588,36.022534;827922.741533,35036294.931776,29.762681,40.737867;406653.202243,24222346.566487,32.990265,36.280213;927409.999901,33207282.273575,30.640357,40.581647;794906.430712,37137633.072951,29.942547,42.152767
1;339201.6267,24416045.057738,32.554589,36.022544;827923.005362,35036335.087236,29.762696,40.737904;406654.084388,24222444.008821,32.990283,36.280306;927411.001517,33207384.090504,30.640386,40.581738;794907.365776,37137674.994502,29.942553,42.152796
0;339202.589942,24416081.647991,32.554591,36.022574;827924.742768,35036447.581717,29.762737,40.738012;406657.880228,24222666.848345,32.990343,36.280559;927414.924498,33207623.904536,30.640476,40.581989;794914.95672,37137808.556477,29.942664,42.152971
1;339202.82705,24416094.125572,32.554589,36.022581;827926.669039,35036479.738092,29.762738,40.738033;406662.676234,24222729.236904,32.99034,36.280608;927420.428394,33207695.973436,30.640477,40.582039;794919.43089,37137826.755523,29.942661,42.152983
0;339203.054,24416116.607347,32.554593,36.0226;827926.992173,35036583.620711,29.762772,40.738116;406662.827398,24222978.64421,32.990385,36.280817;927420.71602,33207964.028253,30.640547,40.582248;794919.719741,37137873.782622,29.942672,42.153017
1;339204.087519,24416130.764025,32.554594,36.022614;827927.95108,35036626.750856,29.762794,40.738166;406664.049987,24223074.22703,32.99042,36.280938;927422.029759,33208064.362796,30.640594,40.582368;794920.492305,37137894.490425,29.942681,42.15304
0;339204.166741,24416143.119135,32.554602,36.022627;827928.321399,35036705.210303,29.762831,40.738233;406664.94597,24223287.917727,32.990473,36.281116;927422.84204,33208288.236662,30.64067,40.582544;794920.59395,37137927.372579,29.942695,42.153067
0;339204.299529,24416165.336786,32.554599,36.022642;827928.836322,35036772.969259,29.762836,40.738277;406666.717858,24223434.020103,32.990463,36.281221;927424.614012,33208436.348921,30.640678,40.582645;794920.728138,37137955.015421,29.942696,42.153083
1;339204.526234,24416177.860532,32.5546,36.022652;827929.459186,35036818.977151,29.762852,40.738319;406667.762892,24223535.548094,32.990487,36.281323;927425.718574,33208536.074943,30.640714,40.582742;794921.053684,37137976.227515,29.942699,42.153098
0;339205.688303,24416210.043,32.554597,36.022673;827931.273158,35036925.414605,29.762873,40.738394;406671.249688,24223755.284244,32.990509,36.281498;927429.869199,33208763.078267,30.640761,40.582914;794921.847864,37138022.724766,29.942704,42.153127
3;339206.133655,24416221.275135,32.554599,36.022684;827932.740993,35036979.023994,29.762885,40.738437;406675.797142,24223883.588659,32.990518,36.281607;927434.581437,33208902.16378,30.640784,40.583022;794922.800287,37138044.428564,29.942708,42.153143
0;339206.47297,24416232.554553,32.554604,36.022697;827933.22826,35037037.873077,29.762909,40.738495;406676.691033,24224023.914628,32.990548,36.281747;927435.65623,33209051.663406,30.640831,40.583162;794923.041886,37138066.001819,29.942715,42.153163
3;339206.78026,24416251.826235,32.554603,36.022711;827933.475906,35037060.038147,29.762921,40.738523;406677.441583,24224082.178103,32.990563,36.281816;927437.056182,33209110.3805,30.640854,40.583227;794930.688674,37138167.317324,29.942728,42.153236
0;339207.482533,24416262.814108,32.554605,36.022721;827934.539859,35037107.054244,29.762933,40.73856;406679.172262,24224196.560814,32.990575,36.281908;927438.728899,33209229.456998,30.640879,40.583318;794930.791833,37138188.459517,29.942734,42.153255
0;339207.536491,24416303.370047,32.5546,36.022743;827934.731312,35037183.034738,29.762943,40.738612;406679.535919,24224359.088216,32.990576,36.282031;927439.121358,33209404.607946,30.640899,40.583441;794930.884983,37138221.879278,29.942739,42.153277
2;339208.631392,24416311.130903,32.554602,36.022751;827936.541051,35037222.161209,29.762958,40.738645;406682.300491,24224454.587144,32.990597,36.282115;927442.327138,33209506.459813,30.640929,40.583524;794932.414118,37138234.712272,29.942744,42.153289
0;339209.688755,24416366.569276,32.554595,36.022782;827939.388677,35037398.361944,29.762955,40.738742;406688.182781,24224842.816401,32.990538,36.282356;927449.00173,33209928.512405,30.640907,40.58376;794934.063691,37138301.128436,29.942743,42.153325
1;339209.800037,24416381.128067,32.554596,36.022794;827940.878453,35037468.201566,29.762967,40.738795;406691.640892,24225009.545585,32.990542,36.282492;927453.338231,33210105.037429,30.640928,40.583892;794934.600032,37138328.46776,29.942746,42.153344
0;339210.778636,24416397.302327,32.5546,36.022811;827947.709483,35037547.416966,29.762991,40.738871;406706.349625,24225208.131765,32.990557,36.282685;927470.313015,33210324.889402,30.640968,40.58409;794937.081559,37138356.596354,29.942753,42.15337
2;339210.877703,24416411.604307,32.554602,36.022823;827948.145631,35037609.647293,29.763007,40.738924;406708.332288,24225344.193105,32.99057,36.282815;927472.367951,33210466.69696,30.640999,40.584217;794937.188633,37138379.202554,29.942758,42.153388
0;339211.25862,24416423.154633,32.554602,36.022832;827948.969549,35037661.978807,29.763014,40.738959;406709.561263,24225475.810833,32.990567,36.282907;927473.52558,33210606.896548,30.641008,40.584306;794937.579107,37138402.942192,29.94276,42.153403
4;339211.409095,24416444.705746,32.554603,36.022849;827950.047882,35037745.083883,29.763029,40.739023;406712.703779,24225689.519077,32.990566,36.283072;927476.69509,33210830.331128,30.641034,40.584468;794938.135053,37138438.853489,29.942767,42.153431
0;339212.294604,24416476.663584,32.554596,36.022867;827951.111311,35037794.905455,29.76304,40.739063;406714.529476,24225791.532947,32.990581,36.283167;927478.851497,33210936.285766,30.641061,40.58456;794939.109455,37138466.147201,29.942771,42.15345
0;339213.568712,24416491.66063,32.554596,36.022878;827952.709282,35037854.479947,29.76305,40.739104;406717.616286,24225941.521836,32.99058,36.283273;927481.708671,33211088.20969,30.641077,40.584661;794940.117745,37138490.352057,29.942775,42.153467
4;339213.703138,24416501.564936,32.554599,36.022889;827952.798382,35037896.584757,29.763068,40.739145;406718.044794,24226036.837621,32.990609,36.283375;927482.168049,33211190.077199,30.641115,40.584762;794940.339864,37138512.905043,29.942783,42.153488
0;339213.752915,24416512.00721,32.5546,36.022896;827953.13457,35037935.577427,29.763073,40.739168;406718.960873,24226125.101018,32.990609,36.283433;927483.297821,33211283.401285,30.641124,40.584818;794940.538572,37138528.690916,29.942786,42.153498
2;339213.949443,24416529.558397,32.554602,36.02291;827953.709366,35038021.934119,29.763092,40.739231;406720.789327,24226329.436977,32.990628,36.283594;927484.981378,33211502.963613,30.641164,40.584978;794940.73983,37138568.298084,29.942793,42.153525
0;339217.179412,24416565.63575,32.554594,36.022933;827959.701552,35038106.76067,29.763089,40.739281;406732.244084,24226492.750438,32.990603,36.283701;927497.133426,33211685.3191,30.641155,40.585085;794944.609502,37138615.605282,29.94279,42.153551
2;339217.450712,24416575.677879,32.554596,36.022943;827960.647898,35038153.736345,29.763106,40.739328;406734.348387,24226603.051744,32.990624,36.283818;927499.363143,33211805.113329,30.64119,40.585204;794945.200318,37138637.858191,29.942797,42.153572
0;339218.411918,24416588.842909,32.554596,36.022952;827962.462995,35038190.374446,29.763113,40.739355;406737.518228,24226685.53695,32.990628,36.283885;927502.608558,33211898.840726,30.641202,40.585271;794945.92185,37138652.556398,29.942798,42.153581
3;339218.7943,24416599.735534,32.554596,36.022962;827963.280447,35038238.181043,29.763122,40.739393;406738.935626,24226793.216357,32.990635,36.283979;927504.061088,33212010.233005,30.64122,40.585363;794946.290156,37138667.170153,29.942802,42.153594
0;339218.992849,24416615.562984,32.5546,36.022977;827963.723663,35038308.947903,29.763147,40.739454;406740.356715,24226962.675832,32.990665,36.284131;927505.707571,33212187.469695,30.641269,40.585511;794946.442796,37138693.165351,29.94281,42.153615
0;339220.852082,24416639.289997,32.554599,36.022994;827966.763703,35038380.408354,29.763159,40.739506;406744.953793,24227119.272112,32.990672,36.284256;927510.310379,33212350.470288,30.641294,40.585633;794948.59121,37138727.251794,29.942812,42.153637
2;339222.49001,24416655.30933,32.554597,36.023005;827969.86266,35038424.472665,29.763169,40.73954;406749.482416,24227224.78431,32.990681,36.284341;927514.77577,33212459.248273,30.641313,40.585714;794950.453191,37138744.970916,29.942814,42.15365
0;339222.641301,24416678.275876,32.554595,36.02302;827970.540013,35038489.3058,29.763173,40.739582;406751.072822,24227360.728835,32.990673,36.28444;927516.043202,33212600.498666,30.64132,40.585808;794950.80988,37138766.218748,29.942816,42.153664
4;339222.915015,24416699.2197,32.554594,36.023033;827970.880582,35038563.544135,29.763184,40.739629;406751.577428,24227521.525429,32.990679,36.284552;927516.494462,33212771.454726,30.641339,40.585916;794950.971527,37138790.75047,29.94282,42.153679
0;339223.239062,24416709.538301,32.554597,36.023044;827971.333192,35038600.206186,29.7632,40.739672;406752.77451,24227604.838941,32.990701,36.28466;927517.785919,33212861.156266,30.641374,40.586026;794951.179371,37138806.851518,29.942826,42.153696
3;339224.878054,24416732.97238,32.554595,36.023064;827973.108394,35038676.54834,29.763215,40.739729;406754.411914,24227766.976145,32.990713,36.284793;927519.908716,33213020.198391,30.641407,40.586151;794953.952504,37138947.38477,29.942834,42.153781
