Estimulo;C1;C5
0;20065289.897882,465876734.669551,25.055111,137.082748,20065289.897882,465876734.669551,25.055111,137.082748;15349359.796236,324792344.816398,24.562833,113.26139,15349359.796236,324792344.816398,24.562833,113.26139
2;20065289.945233,465876744.981235,25.055112,137.082752,20065290.139974,465876755.912633,25.055112,137.082755;15349359.893431,324792357.901869,24.562834,113.261395,15349360.082158,324792369.376717,24.562835,113.261399
2;20065295.984654,465876930.167621,25.055116,137.082788,20065296.012786,465876946.19447,25.055117,137.082791;15349364.740624,324792539.389217,24.56284,113.261438,15349364.789708,324792555.069935,24.562841,113.261443
0;20065296.888703,465876961.713928,25.055117,137.082794,20065296.888703,465876961.713928,25.055117,137.082794;15349364.92426,324792572.678266,24.562842,113.261447,15349364.92426,324792572.678266,24.562842,113.261447
2;20065302.055565,465877177.709632,25.055124,137.08284,20065302.278042,465877190.14163,25.055124,137.082843;15349374.418578,324792756.497404,24.562854,113.261505,15349374.887794,324792774.232367,24.562855,113.26151
0;20065302.582816,465877204.853149,25.055125,137.082847,20065302.582816,465877204.853149,25.055125,137.082847;15349375.080919,324792786.928442,24.562856,113.261514,15349375.080919,324792786.928442,24.562856,113.261514
2;20065302.620058,465877214.699303,25.055126,137.082851,20065302.899091,465877233.645411,25.055126,137.082855;15349375.269547,324792797.031904,24.562858,113.261519,15349375.648697,324792818.934921,24.562859,113.261525
1;20065303.10067,465877247.01825,25.055127,137.082858,20065303.304192,465877256.667865,25.055127,137.082861;15349375.981434,324792836.127934,24.56286,113.26153,15349376.059227,324792847.716922,24.562861,113.261534
2;20065303.616487,465877275.685082,25.055128,137.082865,20065304.104495,465877292.925724,25.055129,137.082869;15349376.340081,324792863.797818,24.562862,113.261539,15349376.760226,324792886.416156,24.562863,113.261545
2;20065304.580538,465877317.571,25.055129,137.082874,20065304.816667,465877330.628363,25.05513,137.082877;15349377.126501,324792902.451635,24.562864,113.26155,15349377.238328,324792919.770863,24.562865,113.261555
0;20065305.488983,465877347.443326,25.05513,137.082881,20065305.488983,465877347.443326,25.05513,137.082881;15349377.626318,324792934.235274,24.562866,113.261559,15349377.626318,324792934.235274,24.562866,113.261559
1;20065305.843716,465877363.216805,25.055131,137.082885,20065306.560983,465877378.185739,25.055131,137.082888;15349378.168432,324792953.310574,24.562867,113.261565,15349378.371369,324792970.472828,24.562868,113.261569
1;20065307.424199,465877415.333338,25.055133,137.082897,20065307.502174,465877431.973943,25.055134,137.082903;15349379.484132,324793019.042226,24.562871,113.261583,15349379.567461,324793044.137835,24.562872,113.261591
0;20065309.880323,465877510.214238,25.055136,137.082919,20065309.880323,465877510.214238,25.055136,137.082919;15349383.314242,324793130.523423,24.562875,113.261613,15349383.314242,324793130.523423,24.562875,113.261613
1;20065313.817017,465877683.636298,25.055141,137.082956,20065313.928184,465877698.44654,25.055142,137.082959;15349387.810998,324793359.181156,24.562885,113.26167,15349387.917139,324793374.915144,24.562886,113.261674
0;20065314.33498,465877707.686148,25.055142,137.082961,20065314.33498,465877707.686148,25.055142,137.082961;15349388.522451,324793384.175848,24.562887,113.261677,15349388.522451,324793384.175848,24.562887,113.261677
2;20065316.747209,465877795.135858,25.055146,137.082982,20065317.069294,465877813.65303,25.055147,137.082986;15349390.210171,324793500.779736,24.562895,113.261711,15349390.494552,324793518.79579,24.562895,113.261716
1;20065317.811238,465877831.437799,25.055147,137.08299,20065318.010921,465877857.607499,25.055148,137.082996;15349390.928003,324793535.09321,24.562897,113.261721,15349391.001641,324793565.569909,24.562898,113.261729
0;20065318.421097,465877874.09253,25.055148,137.082999,20065318.421097,465877874.09253,25.055148,137.082999;15349391.353272,324793583.892536,24.562898,113.261733,15349391.353272,324793583.892536,24.562898,113.261733
2;20065318.584808,465877883.653447,25.055149,137.083001,20065318.863966,465877901.467586,25.055149,137.083004;15349391.637694,324793597.289898,24.562899,113.261737,15349392.153523,324793618.103026,24.5629,113.261742
2;20065319.11729,465877912.12435,25.055149,137.083007,20065319.391819,465877928.654387,25.05515,137.08301;15349392.268218,324793631.713271,24.562901,113.261746,15349392.628616,324793641.241417,24.562901,113.261749
2;20065319.957448,465877940.34367,25.055151,137.083014,20065320.405814,465877949.784832,25.055151,137.083017;15349393.010655,324793654.68277,24.562903,113.261754,15349393.628336,324793667.078943,24.562904,113.261758
