Estimulo;C2;C3;C4
2;827190.499741,35005226.819678,29.755902,40.713747,827194.692222,35005263.426634,29.755904,40.713772;403850.378989,24086041.974237,32.999569,36.183812,403861.935212,24086137.714618,32.999558,36.183879;917955.478949,33041613.125118,30.627925,40.463346,917978.353827,33041822.57138,30.627921,40.463476
1;827195.402017,35005293.952832,29.755907,40.713794,827203.750461,35005462.524167,29.75595,40.713921;403863.551811,24086209.879789,32.999556,36.183938,403881.02404,24086672.195783,32.999609,36.184304;917980.995157,33041958.779937,30.627933,40.463578,918011.904716,33042964.91934,30.628115,40.464291
2;827203.987706,35005511.848008,29.755975,40.713972,827204.91128,35005538.924865,29.755981,40.713994;403881.663206,24086811.203802,32.999654,36.184453,403882.288726,24086869.354059,32.999665,36.184509;918013.509952,33043253.684766,30.628228,40.464575,918014.620706,33043369.254275,30.628266,40.464682
0;827205.942619,35005612.836033,29.755988,40.714042,827205.942619,35005612.836033,29.755988,40.714042;403883.761931,24087039.643981,32.999668,36.184637,403883.761931,24087039.643981,32.999668,36.184637;918017.818799,33043726.245057,30.628298,40.464915,918017.818799,33043726.245057,30.628298,40.464915
2;827209.595563,35005803.43496,29.756002,40.714159,827210.980319,35005861.374314,29.756008,40.714201;403887.291316,24087451.893778,32.999662,36.184935,403888.609988,24087564.364462,32.999667,36.185037;918022.634929,33044518.414809,30.628363,40.465458,918023.617239,33044727.252875,30.628401,40.465639
2;827212.033857,35005987.414766,29.756049,40.71431,827212.386321,35006018.662592,29.756062,40.714343;403889.982101,24087868.334931,32.999736,36.185334,403890.510207,24087947.496323,32.999757,36.185428;918026.611097,33045347.819296,30.628588,40.466195,918027.559375,33045518.332087,30.628647,40.466377
0;827214.629965,35006059.462954,29.756069,40.714372,827214.629965,35006059.462954,29.756069,40.714372;403895.206193,24088033.96083,32.999771,36.185502,403895.206193,24088033.96083,32.999771,36.185502;918037.595336,33045701.161896,30.628683,40.466518,918037.595336,33045701.161896,30.628683,40.466518
2;827215.389441,35006102.982787,29.75608,40.714406,827216.209506,35006138.75474,29.756087,40.714436;403895.855349,24088143.663624,32.999784,36.185595,403896.543998,24088231.641103,32.999792,36.185675;918038.132756,33045908.584943,30.628731,40.466682,918039.239285,33046078.639184,30.628771,40.466829
2;827221.653828,35006350.97045,29.756142,40.71461,827224.962242,35006381.039852,29.756144,40.714632;403907.790757,24088743.200779,32.999861,36.186137,403917.957206,24088807.001735,32.999856,36.186191;918057.735837,33047053.548509,30.62899,40.467636,918077.957075,33047172.183077,30.629,40.467734
0;827226.017817,35006427.550653,29.756158,40.714674,827226.017817,35006427.550653,29.756158,40.714674;403919.3576,24088923.741042,32.999874,36.18631,403919.3576,24088923.741042,32.999874,36.18631;918079.984051,33047406.625424,30.629058,40.467956,918079.984051,33047406.625424,30.629058,40.467956
