Estimulo;C1;C2;C3;C4;C5
0;340165.738697,24441169.250396,32.555295,36.042372;829892.650868,35124055.514687,29.781771,40.806812;410131.50648,24398016.119474,33.00206,36.427333;931932.387465,33446585.313994,30.671875,40.760338;824399.358682,37435145.726863,29.936401,42.336394
0;340167.708961,24441181.724366,32.555299,36.042388;829896.695033,35124120.11634,29.781797,40.806881;410136.87047,24398137.761103,33.002081,36.42746;931938.298262,33446736.734924,30.671914,40.760482;824401.614378,37435174.771482,29.936409,42.336419
0;340169.069588,24441198.366633,32.5553,36.042404;829900.302499,35124193.796987,29.781809,40.80694;410142.719545,24398267.523199,33.002078,36.42757;931945.297426,33446900.770621,30.671925,40.760605;824403.780869,37435205.812124,29.936412,42.336443
0;340169.755096,24441222.2618,32.555308,36.042434;829901.376289,35124304.163389,29.781858,40.807065;410144.202201,24398458.528371,33.002129,36.427798;931946.856515,33447139.659452,30.672007,40.760861;824404.513976,37435247.34373,29.936426,42.336486
0;340170.024278,24441237.579922,32.555314,36.042451;829902.543146,35124382.614202,29.781888,40.807136;410146.18037,24398597.425655,33.002159,36.427928;931948.983323,33447311.299858,30.672056,40.761007;824404.965689,37435279.620052,29.936436,42.336512
0;340170.480455,24441272.420461,32.555327,36.042487;829904.081542,35124518.531524,29.781958,40.807271;410148.651008,24398817.958156,33.002246,36.428165;931951.95224,33447583.7237,30.672175,40.761272;824405.497096,37435332.025614,29.936458,42.336559
0;340172.269947,24441293.474582,32.555322,36.042499;829907.535858,35124582.107944,29.781961,40.807313;410153.245516,24398925.572078,33.002239,36.428243;931957.474678,33447718.142119,30.672181,40.76136;824407.344609,37435361.720463,29.936458,42.336577
0;340173.157894,24441325.24688,32.555327,36.042529;829908.989775,35124717.902952,29.781998,40.807427;410155.794513,24399162.170467,33.002267,36.428451;931960.48739,33448008.395414,30.672237,40.761593;824408.228262,37435415.608133,29.936468,42.336617
0;340173.746032,24441340.824742,32.555337,36.04255;829912.57105,35124807.265432,29.782044,40.807524;410162.602915,24399325.341174,33.002316,36.42863;931968.739991,33448220.916496,30.672312,40.7618;824409.492948,37435451.779114,29.936484,42.336653
0;340174.461953,24441367.32618,32.555335,36.042569;829914.581915,35124912.821228,29.782053,40.807593;410166.003143,24399504.405215,33.002307,36.428758;931972.57465,33448444.836572,30.672321,40.761946;824410.625671,37435498.171665,29.936485,42.336681
