Estimulo;C1;C2;C3;C4;C5
0;4103097.967085,164502337.041529,28.679824,86.163472;20597358.805691,443994711.087747,28.527696,143.507338;6528129.383206,266127587.549179,27.259361,106.760913;7604206.337003,303070719.059911,27.386302,113.608813;2506784.128806,56472867.640944,30.467724,53.094888
0;4103099.660038,164502380.318883,28.679831,86.163497;20597374.984834,443995162.252077,28.527713,143.507465;6528167.386961,266128454.138425,27.259413,106.761214;7604209.097882,303070881.394262,27.386322,113.608895;2506785.871958,56472911.473101,30.467739,53.094929
0;4103101.662254,164502428.965737,28.679834,86.163517;20597392.441935,443995694.738262,28.527719,143.507573;6528204.243742,266129578.925068,27.259432,106.761492;7604213.160156,303071051.256725,27.386334,113.608956;2506787.907029,56472958.594228,30.467746,53.09496
0;4103104.988419,164502474.037335,28.679838,86.163536;20597417.567007,443996206.22876,28.527729,143.507689;6528240.184878,266130588.11646,27.259469,106.76178;7604223.195385,303071232.693102,27.386346,113.609021;2506791.3585,56473004.03221,30.467753,53.094992
0;4103107.996053,164502494.12607,28.679838,86.163543;20597441.364843,443996368.740717,28.527729,143.507718;6528275.777676,266130923.253575,27.259471,106.761855;7604230.569753,303071299.003233,27.386347,113.609037;2506794.405558,56473023.416487,30.467753,53.095002
0;4103108.051082,164502535.495663,28.67984,86.163557;20597441.654008,443996852.76408,28.527734,143.507802;6528276.592056,266131835.148325,27.259488,106.762056;7604230.608983,303071444.616538,27.386356,113.609079;2506794.457327,56473063.837683,30.467758,53.095024
0;4103108.183549,164502583.879597,28.679844,86.163575;20597442.793431,443997386.155735,28.527745,143.507906;6528280.192407,266132833.882887,27.259522,106.762303;7604230.774426,303071614.303454,27.386368,113.609134;2506794.55211,56473111.280804,30.467767,53.095053
0;4103108.582637,164502647.62452,28.679848,86.163596;20597445.810213,443998173.075468,28.527758,143.508046;6528285.702711,266134359.010096,27.259568,106.76265;7604232.218694,303071835.91227,27.386381,113.609199;2506794.981116,56473172.574405,30.467775,53.095087
0;4103109.323769,164502660.963004,28.67985,86.163603;20597448.663679,443998388.920764,28.527763,143.5081;6528290.716766,266134822.33678,27.259586,106.762789;7604233.812832,303071878.899817,27.386386,113.609221;2506795.773061,56473185.67533,30.467778,53.095098
0;4103109.423055,164502703.071319,28.679851,86.163615;20597449.746588,443999005.49075,28.527766,143.508194;6528294.317242,266136019.800368,27.259598,106.763027;7604233.964879,303072024.73597,27.386391,113.609257;2506795.84828,56473227.195207,30.467781,53.095117
0;4103109.582832,164502734.181056,28.679853,86.163626;20597450.69056,443999466.776974,28.527773,143.508276;6528296.122605,266136919.351587,27.25962,106.76323;7604234.265644,303072120.216968,27.386399,113.609287;2506795.959294,56473256.832825,30.467785,53.095135
0;4103109.62225,164502765.757777,28.679856,86.163639;20597450.853167,443999966.058165,28.527783,143.508378;6528296.566694,266137884.292153,27.259651,106.763473;7604234.327189,303072214.004477,27.386408,113.609325;2506795.987868,56473287.667358,30.467791,53.095155
0;4103110.523745,164502773.603049,28.679857,86.163643;20597469.109945,444000133.61646,28.527785,143.508418;6528327.744536,266138202.406192,27.259662,106.763576;7604237.219278,303072247.109214,27.38641,113.609337;2506796.883534,56473295.594484,30.467793,53.095162
