Estimulo;C1;C2;C3;C4;C5
0;824166.780671,31568530.517843,31.534911,40.460521;165594.481536,11912957.87558,34.930275,26.786285;173865.277619,12020608.303339,34.871393,26.869039;775241.126652,21210408.341428,33.494962,35.105339;251369.745727,11193612.210286,34.463244,25.773073
0;824166.796134,31568532.962847,31.534911,40.460523;165594.636711,11912961.942594,34.930273,26.786288;173865.278262,12020611.560285,34.871392,26.869042;775241.131508,21210411.5508,33.494961,35.105341;251369.751243,11193614.878753,34.463243,25.773076
0;824166.844928,31568533.840016,31.534912,40.460524;165594.680659,11912963.212804,34.930274,26.78629;173865.331341,12020613.222808,34.871392,26.869044;775241.190813,21210413.140269,33.494961,35.105343;251369.830114,11193617.167579,34.463244,25.773078
0;824166.982536,31568538.486674,31.534912,40.460527;165594.782651,11912967.606065,34.930273,26.786295;173865.551844,12020618.213961,34.87139,26.869049;775241.450914,21210418.225713,33.49496,35.105346;251370.144805,11193622.199727,34.463242,25.773083
0;824167.086925,31568540.467351,31.534912,40.460528;165594.976475,11912971.007772,34.930272,26.786298;173865.67602,12020620.297224,34.87139,26.869051;775241.561069,21210420.086845,33.49496,35.105347;251370.248424,11193624.052554,34.463242,25.773085
0;824167.099281,31568541.870986,31.534912,40.460529;165595.148087,11912973.839492,34.930272,26.786301;173865.681869,12020621.824596,34.87139,26.869053;775241.570016,21210421.79243,33.49496,35.105348;251370.259402,11193626.136126,34.463242,25.773087
0;824167.201748,31568545.222865,31.534912,40.460531;165595.244173,11912977.699292,34.930271,26.786305;173865.742598,12020624.551724,34.871389,26.869056;775241.60516,21210424.449865,33.49496,35.105351;251370.294016,11193628.485302,34.463241,25.77309
0;824167.35892,31568547.026945,31.534913,40.460534;165595.583845,11912979.64537,34.930273,26.786309;173865.940634,12020626.357508,34.871391,26.869059;775241.782453,21210426.171393,33.494961,35.105353;251370.48983,11193630.134889,34.463243,25.773093
0;824167.768488,31568552.400462,31.534913,40.460537;165595.746838,11912989.49719,34.930269,26.786317;173866.41583,12020631.957389,34.871388,26.869063;775242.082766,21210430.694676,33.49496,35.105355;251370.803502,11193633.489336,34.463242,25.773097
0;824167.857031,31568555.950947,31.534913,40.460539;165596.12672,11912994.904822,34.930266,26.786322;173866.597701,12020634.86235,34.871387,26.869066;775242.307317,21210433.410806,33.49496,35.105358;251371.073648,11193636.645321,34.463242,25.773101
0;824168.352709,31568572.709637,31.53491,40.460547;165596.582415,11913006.4813,34.930261,26.786332;173866.871837,12020642.569013,34.871384,26.869072;775242.993232,21210441.060873,33.494958,35.105362;251371.346733,11193642.768837,34.463239,25.773106
0;824168.49489,31568574.473063,31.534911,40.460549;165596.805732,11913009.538545,34.930261,26.786335;173867.109315,12020644.179398,34.871384,26.869074;775243.132891,21210442.12908,33.494958,35.105363;251371.496969,11193643.741391,34.463239,25.773107
0;824168.665858,31568582.429599,31.534911,40.460554;165597.027138,11913022.438924,34.930256,26.786346;173867.190595,12020653.213536,34.871381,26.869082;775243.263232,21210449.18851,33.494957,35.105369;251371.69618,11193652.961887,34.463237,25.773116
0;824169.227616,31568603.845516,31.534927,40.460578;165597.937784,11913047.048331,34.930258,26.786373;173867.807458,12020659.466731,34.871385,26.869092;775243.883599,21210454.273976,33.49496,35.105375;251372.294529,11193658.188599,34.463245,25.773127
0;824169.265646,31568607.456205,31.534927,40.460581;165597.994229,11913051.520667,34.930258,26.786378;173867.848984,12020663.477256,34.871385,26.869096;775243.925429,21210457.700512,33.49496,35.105378;251372.336234,11193661.473491,34.463246,25.773131
0;824169.527757,31568631.015218,31.534941,40.460605;165598.209885,11913058.1663,34.930265,26.786389;173868.150915,12020669.481113,34.871385,26.869102;775244.026487,21210459.581076,33.494961,35.10538;251372.461221,11193662.898471,34.463247,25.773133
0;824170.302149,31568640.282421,31.53494,40.46061;165599.101581,11913065.662646,34.930261,26.786396;173869.050432,12020677.678508,34.871379,26.869109;775245.037,21210467.780451,33.494958,35.105385;251373.340378,11193671.71277,34.463241,25.773141
0;824170.340185,31568642.217599,31.53494,40.460611;165599.143419,11913067.876229,34.930261,26.786398;173869.093726,12020679.993127,34.871379,26.869111;775245.097603,21210469.877256,33.494958,35.105386;251373.365087,11193673.612105,34.463241,25.773143
0;824170.40017,31568643.799828,31.53494,40.460612;165599.177209,11913069.557001,34.930261,26.7864;173869.144958,12020681.598817,34.871378,26.869113;775245.158748,21210471.224889,33.494957,35.105387;251373.387804,11193674.801302,34.463241,25.773144
4;824170.462348,31568645.782254,31.53494,40.460613;165599.350622,11913071.689202,34.930259,26.786401;173869.321762,12020683.591458,34.871377,26.869114;775245.282585,21210472.695473,33.494957,35.105388;251373.498966,11193676.304716,34.46324,25.773146
0;824170.88681,31568652.995719,31.534939,40.460617;165600.002693,11913081.188125,34.930254,26.786409;173869.743673,12020689.444416,34.871374,26.869119;775245.91037,21210478.914198,33.494955,35.105392;251373.898527,11193680.034935,34.463238,25.773149
2;824171.053071,31568655.812497,31.534939,40.460619;165600.450129,11913082.972022,34.930254,26.786411;173869.869831,12020690.778707,34.871374,26.86912;775245.945799,21210482.53866,33.494954,35.105394;251373.968414,11193682.707664,34.463237,25.773151
0;824171.09993,31568658.718553,31.534939,40.460621;165600.554872,11913085.565955,34.930254,26.786415;173869.915257,12020694.623246,34.871372,26.869124;775245.987393,21210486.28594,33.494953,35.105396;251373.986987,11193685.583569,34.463236,25.773154
2;824171.352545,31568666.689448,31.534938,40.460624;165600.82801,11913089.13391,34.930253,26.786418;173870.248643,12020698.139584,34.87137,26.869126;775246.288502,21210489.832025,33.494953,35.105399;251374.244218,11193688.587042,34.463235,25.773157
0;824171.573521,31568670.566041,31.534938,40.460627;165601.037102,11913092.824617,34.930251,26.786421;173870.36093,12020700.801589,34.871369,26.869128;775246.32704,21210491.932106,33.494952,35.1054;251374.297817,11193691.331346,34.463234,25.773159
0;824171.712214,31568679.29408,31.534936,40.460631;165601.146951,11913096.312403,34.93025,26.786424;173870.4103,12020703.102507,34.871368,26.869131;775246.476716,21210496.658499,33.494951,35.105403;251374.31667,11193693.669123,34.463234,25.773161
1;824171.754249,31568681.103058,31.534937,40.460632;165601.182815,11913098.519454,34.930251,26.786427;173870.471342,12020704.504404,34.871368,26.869132;775246.557007,21210497.631964,33.494951,35.105404;251374.36706,11193694.801394,34.463234,25.773163
0;824171.863639,31568684.505459,31.534937,40.460635;165601.256646,11913102.005023,34.930252,26.786431;173870.519304,12020706.435964,34.871368,26.869134;775246.581429,21210499.106093,33.494951,35.105405;251374.389786,11193696.2892,34.463234,25.773165
1;824171.947769,31568686.000965,31.534938,40.460636;165601.561955,11913104.259242,34.930251,26.786434;173870.667748,12020707.944155,34.871368,26.869136;775246.749132,21210500.086923,33.494951,35.105405;251374.470594,11193697.379956,34.463234,25.773166
0;824172.145576,31568690.465943,31.534938,40.460639;165601.726217,11913110.905268,34.930251,26.786441;173870.862318,12020711.788166,34.871367,26.86914;775246.835264,21210503.512658,33.494951,35.105408;251374.506947,11193700.93494,34.463233,25.77317
2;824172.168536,31568691.419397,31.534939,40.46064;165601.76029,11913113.686291,34.930251,26.786444;173870.894012,12020712.79878,34.871368,26.869141;775246.848412,21210504.57838,33.494951,35.105409;251374.516877,11193701.972371,34.463234,25.773171
0;824172.271291,31568695.444661,31.534939,40.460643;165601.955728,11913117.879092,34.930251,26.786449;173870.966247,12020716.828208,34.871368,26.869145;775246.908445,21210507.897975,33.494951,35.105411;251374.565056,11193704.678881,34.463234,25.773174
2;824172.370292,31568700.961089,31.534939,40.460645;165602.046177,11913120.980388,34.930251,26.786452;173871.047525,12020718.738461,34.871367,26.869147;775247.083412,21210510.401732,33.49495,35.105413;251374.583931,11193706.593068,34.463234,25.773176
0;824172.633821,31568706.821519,31.534938,40.460649;165602.222599,11913127.00716,34.930249,26.786457;173871.20303,12020723.811347,34.871365,26.869152;775247.247986,21210515.196534,33.49495,35.105416;251374.745018,11193711.387466,34.463232,25.773181
0;824172.810418,31568713.043935,31.534937,40.460652;165602.376729,11913132.743335,34.930246,26.786462;173871.352278,12020727.62925,34.871363,26.869155;775247.42237,21210518.762427,33.494949,35.105418;251374.858184,11193714.985733,34.46323,25.773184
