Estimulo;C1;C5
0;338847.472231,24406002.335413,32.55461,36.015034,338847.472231,24406002.335413,32.55461,36.015034;793806.782749,37112704.731787,29.937767,42.133309,793806.782749,37112704.731787,29.937767,42.133309
2;338849.507701,24406017.992654,32.554607,36.015044,338851.644146,24406081.280367,32.554593,36.015078;793808.51486,37112731.30189,29.937765,42.133322,793813.14499,37112792.818702,29.937762,42.133356
2;338852.771132,24406143.48006,32.55459,36.01512,338853.689996,24406177.9296,32.554587,36.015142;793814.204882,37112834.8686,29.937771,42.13339,793814.581615,37112855.076939,29.937775,42.133406
0;338855.524109,24406230.486797,32.554585,36.015179,338855.524109,24406230.486797,32.554585,36.015179;793816.068404,37112909.871181,29.937784,42.133446,793816.068404,37112909.871181,29.937784,42.133446
2;338857.359195,24406268.398602,32.554583,36.015207,338859.252731,24406307.690421,32.554579,36.015235;793817.618216,37112949.302437,29.93779,42.133475,793819.55986,37112992.21533,29.937795,42.133508
2;338859.444497,24406313.88029,32.554582,36.015242,338860.403035,24406325.34416,32.554583,36.015251;793819.747258,37113007.513878,29.937798,42.133519,793820.308935,37113020.799656,29.937802,42.13353
0;338862.041626,24406383.290687,32.554581,36.015291,338862.041626,24406383.290687,32.554581,36.015291;793821.88627,37113060.678997,29.93781,42.133562,793821.88627,37113060.678997,29.93781,42.133562
2;338863.476317,24406420.885595,32.55458,36.015319,338863.700218,24406453.739695,32.554578,36.01534;793823.621583,37113104.299792,29.937816,42.133591,793824.205986,37113117.799443,29.937822,42.133606
0;338867.585153,24406590.174388,32.554567,36.01543,338867.585153,24406590.174388,32.554567,36.01543;793828.916507,37113237.62856,29.93783,42.133682,793828.916507,37113237.62856,29.93783,42.133682
1;338869.188377,24406603.132347,32.554568,36.015443,338870.562297,24406621.621416,32.554565,36.015455;793829.656912,37113256.203436,29.937833,42.133696,793830.338058,37113279.307419,29.937833,42.133709
1;338870.58787,24406632.004082,32.554564,36.015462,338872.145776,24406664.590027,32.554566,36.015486;793830.35016,37113289.764714,29.937834,42.133716,793831.711551,37113317.866261,29.937844,42.133739
1;338872.317434,24406679.232871,32.554566,36.015497,338872.449623,24406692.953828,32.554567,36.01551;793832.017195,37113335.969189,29.937847,42.133753,793832.54567,37113346.519935,29.937851,42.133765
0;338875.718884,24406775.431625,32.554554,36.015559,338875.718884,24406775.431625,32.554554,36.015559;793834.576939,37113413.422653,29.937858,42.133809,793834.576939,37113413.422653,29.937858,42.133809
2;338880.481976,24406814.717775,32.554557,36.015594,338880.897581,24406829.07715,32.554558,36.015606;793838.93911,37113463.357688,29.937867,42.133848,793839.672307,37113478.012831,29.937871,42.133861
2;338881.02281,24406856.609206,32.554557,36.015623,338881.21217,24406870.160478,32.554559,36.015635;793839.70739,37113505.137976,29.937874,42.133877,793839.735228,37113525.020898,29.937878,42.13389
0;338881.589453,24406902.107331,32.554562,36.01566,338881.589453,24406902.107331,32.554562,36.01566;793840.003197,37113562.996299,29.937884,42.133917,793840.003197,37113562.996299,29.937884,42.133917
1;338881.619852,24406909.118132,32.554564,36.015667,338882.253068,24406919.80146,32.554565,36.015677;793840.105688,37113573.253002,29.937886,42.133925,793840.712266,37113593.644922,29.937889,42.133939
1;338882.386161,24406932.6398,32.554567,36.015688,338884.012064,24406944.875568,32.554568,36.015698;793840.810857,37113613.980423,29.937894,42.133954,793842.17196,37113642.623669,29.937899,42.133974
2;338886.61753,24407007.635473,32.554575,36.015752,338888.973202,24407033.868027,32.554572,36.015772;793844.457658,37113726.854631,29.937924,42.134046,793846.456672,37113759.090684,29.937924,42.134066
0;338889.173738,24407054.698542,32.554572,36.015786,338889.173738,24407054.698542,32.554572,36.015786;793846.605651,37113774.024934,29.937928,42.134077,793846.605651,37113774.024934,29.937928,42.134077
1;338889.915262,24407068.226435,32.554571,36.015795,338890.406043,24407086.507007,32.554568,36.015807;793847.068795,37113789.860274,29.93793,42.134087,793847.783954,37113807.509794,29.93793,42.134099
1;338890.479448,24407092.427315,32.554569,36.015813,338891.281739,24407105.081093,32.554573,36.015827;793847.919541,37113814.854725,29.937932,42.134105,793848.784985,37113829.647025,29.937939,42.134121
1;338891.417175,24407117.654026,32.554575,36.015836,338891.795462,24407127.410491,32.554575,36.015844;793849.214153,37113848.229493,29.937943,42.134133,793850.112791,37113855.840873,29.937946,42.134141
0;338895.308025,24407179.265353,32.554573,36.015881,338895.308025,24407179.265353,32.554573,36.015881;793852.524183,37113910.586669,29.937953,42.13418,793852.524183,37113910.586669,29.937953,42.13418
1;338895.831064,24407210.636047,32.554577,36.015908,338896.086133,24407226.50048,32.554577,36.015918;793853.421576,37113949.736808,29.937963,42.134213,793853.788554,37113966.058381,29.937966,42.134225
2;338896.39089,24407239.290759,32.554578,36.015928,338896.640605,24407262.821884,32.554576,36.015942;793854.382196,37113991.963326,29.937968,42.134241,793854.93708,37114019.519345,29.93797,42.134259
0;338897.505831,24407323.929654,32.554577,36.015984,338897.505831,24407323.929654,32.554577,36.015984;793855.78512,37114080.326848,29.937983,42.134302,793855.78512,37114080.326848,29.937983,42.134302
1;338902.366482,24407450.890347,32.554576,36.016077,338903.48755,24407463.789496,32.554575,36.016086;793859.248154,37114220.478317,29.938012,42.134406,793859.807379,37114231.601268,29.938014,42.134413
0;338903.788317,24407481.514678,32.554575,36.016099,338903.788317,24407481.514678,32.554575,36.016099;793859.978457,37114253.016827,29.938018,42.13443,793859.978457,37114253.016827,29.938018,42.13443
1;338906.745054,24407532.226899,32.554582,36.016141,338908.021269,24407546.277661,32.554581,36.016152;793863.159584,37114334.333625,29.93804,42.134493,793863.829413,37114355.617923,29.938042,42.134508
2;338908.074467,24407558.627346,32.55458,36.016161,338908.222436,24407575.566273,32.55458,36.016172;793863.969095,37114373.906042,29.938044,42.13452,793864.064712,37114391.325947,29.938047,42.134532
0;338909.142168,24407667.851043,32.554571,36.016229,338909.142168,24407667.851043,32.554571,36.016229;793864.694919,37114511.214122,29.938062,42.134609,793864.694919,37114511.214122,29.938062,42.134609
1;338913.520765,24407765.936696,32.55457,36.016303,338913.983601,24407773.483151,32.554573,36.016313;793871.294671,37114638.949153,29.938085,42.134708,793871.686738,37114645.256832,29.93809,42.134718
0;338913.99852,24407782.25914,32.554576,36.016322,338913.99852,24407782.25914,32.554576,36.016322;793871.751006,37114659.226444,29.938094,42.13473,793871.751006,37114659.226444,29.938094,42.13473
1;338914.017556,24407799.961539,32.554577,36.016336,338914.514707,24407810.441252,32.554576,36.016345;793871.893642,37114680.041374,29.938098,42.134744,793871.994917,37114693.322336,29.938099,42.134754
1;338915.533892,24407843.551108,32.554571,36.016364,338916.182656,24407857.964866,32.554571,36.016376;793873.110335,37114728.44782,29.938098,42.134773,793873.987069,37114745.080445,29.938101,42.134786
2;338916.383044,24407865.790886,32.554571,36.016382,338916.875164,24407882.523774,32.554571,36.016393;793874.201208,37114749.720665,29.938104,42.134793,793874.637599,37114769.270899,29.938106,42.134804
2;338917.100966,24407910.185713,32.554569,36.01641,338917.478097,24407918.999746,32.554568,36.016416;793875.04812,37114783.755199,29.938108,42.134815,793875.377531,37114795.789627,29.938109,42.134822
0;338917.568509,24407931.933637,32.554571,36.01643,338917.568509,24407931.933637,32.554571,36.01643;793875.480535,37114814.73382,29.938113,42.134836,793875.480535,37114814.73382,29.938113,42.134836
0;338922.864158,24408128.353652,32.554573,36.016568,338922.864158,24408128.353652,32.554573,36.016568;793879.069831,37115023.418937,29.938149,42.134977,793879.069831,37115023.418937,29.938149,42.134977
1;338923.347841,24408151.96913,32.554571,36.016583,338923.725952,24408164.407371,32.554571,36.016592;793879.341345,37115046.847716,29.938152,42.134993,793880.309435,37115069.153504,29.938152,42.135005
2;338923.80059,24408173.263707,32.554571,36.016598,338924.024898,24408195.146525,32.554571,36.016618;793880.649161,37115078.642145,29.938154,42.135013,793880.707103,37115096.866771,29.938156,42.135026
