Estimulo;C1;C5
2;703493.438794,36507008.660511,28.934321,40.812295,703495.871482,36507102.873561,28.934339,40.812359;1121846.064085,38385405.933613,28.190142,41.316141,1121846.577402,38385467.37783,28.190165,41.316189
1;703498.786786,36507157.419928,28.934343,40.812392,703499.910082,36507217.310286,28.934383,40.812461;1121846.805756,38385492.684755,28.190173,41.316207,1121847.398206,38385532.667901,28.190218,41.316269
2;703500.462949,36507258.424523,28.934399,40.812496,703501.543483,36507272.05214,28.934403,40.812509;1121848.236626,38385593.642466,28.190237,41.316316,1121849.975901,38385609.274269,28.190243,41.316332
2;703503.740373,36507315.697296,28.934408,40.812541,703504.058912,36507340.023817,28.934419,40.812564;1121850.491438,38385639.901717,28.190247,41.316352,1121850.577381,38385673.039943,28.19026,41.31638
1;703504.995489,36507406.970802,28.934439,40.812617,703505.682403,36507424.385802,28.934448,40.812634;1121853.075562,38385718.259097,28.190287,41.316427,1121854.212676,38385742.870425,28.190298,41.316448
0;703505.976396,36507443.442167,28.934449,40.812645,703505.976396,36507443.442167,28.934449,40.812645;1121854.518365,38385755.76274,28.190299,41.316456,1121854.518365,38385755.76274,28.190299,41.316456
2;703506.177709,36507470.365966,28.934457,40.812665,703507.449612,36507514.867335,28.934469,40.8127;1121854.761721,38385785.165734,28.19031,41.316479,1121855.569849,38385820.948414,28.190329,41.316512
2;703516.652004,36507886.021685,28.934646,40.813065,703516.959712,36507918.462548,28.934657,40.813092;1121864.154368,38386218.499957,28.190502,41.316878,1121864.200767,38386251.547299,28.190515,41.316904
0;703517.881698,36507999.042586,28.934649,40.813132,703517.881698,36507999.042586,28.934649,40.813132;1121864.697535,38386280.887717,28.190521,41.316924,1121864.697535,38386280.887717,28.190521,41.316924
1;703519.556121,36508021.635737,28.934653,40.81315,703520.478872,36508032.270793,28.934654,40.813157;1121865.472865,38386303.049474,28.190529,41.316942,1121866.198916,38386311.84248,28.190531,41.316949
2;703520.576175,36508043.864407,28.93466,40.813168,703522.146843,36508121.539964,28.934662,40.813209;1121866.378609,38386327.930542,28.190538,41.316962,1121866.65532,38386353.032036,28.190545,41.316981
1;703524.998018,36508152.329263,28.934665,40.813229,703525.200367,36508172.519346,28.934673,40.813248;1121866.773502,38386379.334791,28.190552,41.316998,1121867.062781,38386402.460749,28.190563,41.317021
2;703526.468639,36508186.671877,28.934675,40.813258,703528.032218,36508220.048374,28.934679,40.813281;1121867.828279,38386419.934208,28.190565,41.317032,1121867.909262,38386438.98469,28.190573,41.317049
0;703529.76254,36508329.634535,28.934665,40.813333,703529.76254,36508329.634535,28.934665,40.813333;1121868.413832,38386460.575132,28.190578,41.317064,1121868.413832,38386460.575132,28.190578,41.317064
0;703591.729819,36509952.588491,28.935254,40.814751,703591.729819,36509952.588491,28.935254,40.814751;1121951.618806,38388409.216218,28.191117,41.318584,1121951.618806,38388409.216218,28.191117,41.318584
2;703661.165877,36511531.651315,28.935624,40.815958,703661.774483,36511545.062851,28.935628,40.815969;1122038.075246,38390207.91969,28.191453,41.319843,1122038.737465,38390213.453075,28.191453,41.319847
0;703662.513128,36511690.515093,28.935707,40.81612,703662.513128,36511690.515093,28.935707,40.81612;1122040.451005,38390301.043201,28.191528,41.319966,1122040.451005,38390301.043201,28.191528,41.319966
