Estimulo;C1;C2;C3;C4;C5
0;3319406.870782,82661237.677785,27.20279,60.296013,3319406.870782,82661237.677785,27.20279,60.296013;2129763.305231,52942858.585259,27.731706,48.869413,2129763.305231,52942858.585259,27.731706,48.869413;7743481.020391,167745798.452762,27.120307,86.933035,7743481.020391,167745798.452762,27.120307,86.933035;11108457.231933,256598567.140924,27.341572,106.111281,11108457.231933,256598567.140924,27.341572,106.111281;6272894.200082,165485215.827451,27.334994,86.327189,6272894.200082,165485215.827451,27.334994,86.327189
1;1549478.594986,39241782.357542,28.605781,42.590919,1549499.603829,39242594.207416,28.606334,42.591812;884013.76769,41800231.276595,28.492191,43.298197,884076.608957,41801905.30635,28.493003,43.299792;839480.029929,38036320.115469,28.692726,41.462148,839490.007881,38036593.722676,28.692922,41.462457;963785.743475,38995977.253447,28.87711,42.243779,963796.75786,38996287.386889,28.877324,42.244128;817895.308032,38570255.529995,28.088617,41.262296,817928.163867,38571203.42185,28.089183,41.263267
1;1687571.222971,34505700.991261,28.596701,40.184184,1687591.320874,34507047.414434,28.597132,40.185269;1785314.275753,35446627.707736,28.34373,40.56008,1785351.242506,35448810.768463,28.344207,40.56163;863996.316488,33435595.305281,29.276922,39.34731,864001.098049,33436064.697083,29.277059,39.347685;1196726.699368,35007738.64075,29.357946,40.667107,1196730.134992,35008139.686571,29.358059,40.667421;1028450.05095,34089996.659038,29.065291,39.642987,1028471.027134,34091006.634299,29.06553,39.64376
0;998192.939078,35695594.044531,28.713034,40.221504,998192.939078,35695594.044531,28.713034,40.221504;1056363.515109,36695607.133257,28.480429,40.596597,1056363.515109,36695607.133257,28.480429,40.596597;1178462.992215,36872934.60746,28.407175,40.726783,1178462.992215,36872934.60746,28.407175,40.726783;1238892.096131,34717666.145687,29.446456,40.628826,1238892.096131,34717666.145687,29.446456,40.628826;1187449.445265,37220962.14306,28.325515,40.831282,1187449.445265,37220962.14306,28.325515,40.831282
1;1549372.347024,39240658.622025,28.605386,42.589915,1549373.853526,39240902.957434,28.60554,42.590163;883785.069885,41797970.136445,28.491583,43.296351,883788.267236,41798492.562278,28.491809,43.296796;839438.776889,38035916.907868,28.692582,41.46178,839439.336111,38036009.799236,28.692635,41.461869;963740.628354,38995518.791555,28.876953,42.243367,963741.188602,38995625.600917,28.877011,42.243467;817758.878244,38568997.758815,28.088177,41.261174,817760.555686,38569281.917953,28.088334,41.261439
0;849952.835679,37523916.623762,28.334528,40.911825,849952.835679,37523916.623762,28.334528,40.911825;849996.06788,37527745.083622,28.335318,40.914604,849996.06788,37527745.083622,28.335318,40.914604;849898.533582,37520378.886228,28.332442,40.908207,849898.533582,37520378.886228,28.332442,40.908207;844160.059406,37544393.485038,28.330682,40.911744,844160.059406,37544393.485038,28.330682,40.911744;859845.936963,37520714.188557,28.333887,40.911306,859845.936963,37520714.188557,28.333887,40.911306
0;3319482.02108,82665567.989416,27.204555,60.299437,3319482.02108,82665567.989416,27.204555,60.299437;2129842.036833,52947978.333595,27.735426,48.874969,2129842.036833,52947978.333595,27.735426,48.874969;7743494.926667,167746163.302222,27.120316,86.933137,7743494.926667,167746163.302222,27.120316,86.933137;11183323.019056,258024451.251633,27.335205,106.392409,11183323.019056,258024451.251633,27.335205,106.392409;6272938.70106,165487714.372573,27.335467,86.328522,6272938.70106,165487714.372573,27.335467,86.328522
0;1390455.591239,50961804.557643,27.584206,47.042856,1390455.591239,50961804.557643,27.584206,47.042856;2024821.275989,50387864.022065,27.77631,47.759576,2024821.275989,50387864.022065,27.77631,47.759576;3314831.314832,64203838.117883,27.706814,53.689119,3314831.314832,64203838.117883,27.706814,53.689119;9120023.870702,211355240.948443,27.448494,96.419986,9120023.870702,211355240.948443,27.448494,96.419986;1116114.872322,46323287.053348,28.219396,45.605914,1116114.872322,46323287.053348,28.219396,45.605914
0;1548017.297077,39211293.380473,28.596581,42.566479,1548017.297077,39211293.380473,28.596581,42.566479;880679.193075,41737895.767898,28.477521,43.251547,880679.193075,41737895.767898,28.477521,43.251547;838893.385874,38024823.035238,28.688928,41.452506,838893.385874,38024823.035238,28.688928,41.452506;963118.448869,38982430.379098,28.873027,42.232767,963118.448869,38982430.379098,28.873027,42.232767;815932.871169,38533979.898084,28.07816,41.233532,815932.871169,38533979.898084,28.07816,41.233532
0;1549543.274814,39244326.942897,28.607005,42.593327,1549543.274814,39244326.942897,28.607005,42.593327;884185.141741,41805490.019816,28.493995,43.302606,884185.141741,41805490.019816,28.493995,43.302606;839507.691645,38037193.786194,28.693186,41.463018,839507.691645,38037193.786194,28.693186,41.463018;963816.486305,38996962.838423,28.877609,42.244751,963816.486305,38996962.838423,28.877609,42.244751;817997.870921,38573226.234773,28.089903,41.26499,817997.870921,38573226.234773,28.089903,41.26499
0;26629091.245737,513013270.155587,26.490573,149.168039,26629091.245737,513013270.155587,26.490573,149.168039;10797013.722576,361340537.969537,27.279207,124.972094,10797013.722576,361340537.969537,27.279207,124.972094;14968403.780304,407639654.049615,27.152352,133.131025,14968403.780304,407639654.049615,27.152352,133.131025;16673895.541699,365652568.799487,26.703645,125.635328,16673895.541699,365652568.799487,26.703645,125.635328;16265704.30353,398190820.057996,26.760086,130.940477,16265704.30353,398190820.057996,26.760086,130.940477
1;1548547.975034,39225072.927844,28.601073,42.577659,1548550.292774,39225226.804921,28.601184,42.577834;881730.596413,41765022.402333,28.485359,43.272791,881733.155303,41765418.576607,28.485528,43.273136;839119.02461,38030129.894068,28.690896,41.457085,839119.772791,38030194.171944,28.690936,41.457152;963381.278874,38988857.222611,28.875147,42.238086,963382.028688,38988932.501663,28.87519,42.238162;816576.580822,38550293.098168,28.083613,41.246861,816578.325479,38550512.167125,28.08372,41.247061
0;824181.770714,31568836.895164,31.534942,40.460735,824181.770714,31568836.895164,31.534942,40.460735;165610.458008,11913253.263573,34.930219,26.786583,165610.458008,11913253.263573,34.930219,26.786583;173878.538031,12020821.599357,34.871332,26.869243,173878.538031,12020821.599357,34.871332,26.869243;775254.770206,21210612.319041,33.494933,35.105483,775254.770206,21210612.319041,33.494933,35.105483;251380.994144,11193800.712949,34.463207,25.77327,251380.994144,11193800.712949,34.463207,25.77327
