Estimulo;C2;C4
2;1057288.809971,38369867.103975,28.604015,41.700711,1057289.552358,38369973.434394,28.604046,41.700788;819354.41322,32702955.09745,30.234593,39.783376,819354.952867,32702980.77496,30.234601,39.783396
1;1057289.880303,38370011.926231,28.604058,41.700817,1057290.869043,38370079.215704,28.604122,41.700911;819355.050304,32702991.201367,30.234603,39.783403,819355.381747,32703004.369343,30.234619,39.783426
2;1057291.985162,38370172.493026,28.60415,41.700983,1057294.207269,38370194.11961,28.604158,41.701006;819355.581106,32703026.562393,30.234627,39.783445,819356.685555,32703033.353224,30.234628,39.783453
2;1057295.106138,38370240.013942,28.604165,41.701038,1057295.335453,38370286.487324,28.604185,41.701079;819356.82778,32703050.977378,30.234629,39.783463,819356.929267,32703065.151632,30.234634,39.783476
1;1057298.249021,38370359.686906,28.604223,41.701151,1057299.362413,38370396.007018,28.604238,41.701182;819358.69815,32703082.099518,30.234644,39.783496,819359.188735,32703091.377768,30.234648,39.783505
0;1057299.591937,38370413.698999,28.60424,41.701194,1057299.591937,38370413.698999,28.60424,41.701194;819359.481554,32703101.576324,30.234648,39.783511,819359.481554,32703101.576324,30.234648,39.783511
2;1057299.701695,38370460.475326,28.604256,41.701229,1057300.80656,38370514.597391,28.604282,41.701278;819359.66347,32703115.667674,30.234652,39.783522,819360.201291,32703131.417339,30.234659,39.783537
2;1057302.379991,38370560.658436,28.604302,41.701321,1057308.603143,38371085.89679,28.604527,41.701801;819360.996409,32703145.78581,30.234663,39.78355,819362.34818,32703247.183833,30.234724,39.783666
2;1057312.48881,38371170.988945,28.604526,41.701853,1057312.529536,38371216.946903,28.604544,41.701891;819362.843616,32703268.981856,30.234724,39.783682,819362.873201,32703281.410148,30.234729,39.783693
0;1057312.829926,38371265.457514,28.604552,41.701922,1057312.829926,38371265.457514,28.604552,41.701922;819363.37,32703295.157104,30.23473,39.783702,819363.37,32703295.157104,30.23473,39.783702
1;1057314.086062,38371295.30703,28.604563,41.701948,1057315.267704,38371308.297857,28.604566,41.701958;819363.821211,32703303.906955,30.234733,39.78371,819364.715978,32703310.541593,30.234734,39.783715
2;1057315.505882,38371329.084715,28.604576,41.701977,1057315.851586,38371365.907975,28.604586,41.702004;819364.883024,32703317.283082,30.234736,39.783721,819365.099698,32703332.057402,30.234738,39.78373
1;1057315.898109,38371402.615695,28.604597,41.70203,1057316.138773,38371439.85571,28.604611,41.702064;819365.310387,32703343.111367,30.234741,39.783738,819365.59085,32703354.550116,30.234745,39.783749
2;1057317.12825,38371467.728461,28.604613,41.702081,1057317.234689,38371495.699699,28.604626,41.702107;819366.131156,32703364.035176,30.234745,39.783756,819366.147676,32703372.17256,30.234748,39.783763
0;1057318.049097,38371528.734457,28.604633,41.70213,1057318.049097,38371528.734457,28.604633,41.70213;819366.818895,32703383.973882,30.23475,39.783771,819366.818895,32703383.973882,30.23475,39.783771
1;1057340.950777,38371612.73226,28.604634,41.702204,1057396.049017,38372369.839563,28.604878,41.702865;819371.246565,32703406.161283,30.23475,39.783791,819383.671237,32703571.402017,30.234811,39.783954
2;1057396.505159,38372415.107999,28.604888,41.702896,1057427.168093,38373037.052112,28.605056,41.703372;819383.750397,32703581.00856,30.234814,39.783962,819389.241942,32703708.556094,30.234859,39.784075
2;1057428.819314,38373164.260326,28.605053,41.703432,1057442.857191,38373380.729734,28.605098,41.703593;819389.587185,32703732.310877,30.234858,39.784088,819392.498638,32703777.635108,30.23487,39.784126
2;1057448.330784,38373433.688129,28.605123,41.703651,1057448.433303,38373473.363778,28.605133,41.703679;819393.346532,32703791.697035,30.234877,39.784142,819393.410116,32703804.693622,30.234879,39.784151
0;1057454.638569,38374685.680965,28.605348,41.70451,1057454.638569,38374685.680965,28.605348,41.70451;819394.672019,32704090.771251,30.234925,39.784362,819394.672019,32704090.771251,30.234925,39.784362
2;1057454.937195,38374717.152806,28.605358,41.704534,1057540.070656,38376704.7939,28.605793,41.705981;819394.741782,32704098.315838,30.234928,39.784369,819412.808315,32704487.671405,30.235043,39.784706
2;1057552.607654,38377111.629385,28.605786,41.706211,1057572.992503,38377421.669727,28.605788,41.706382;819414.710654,32704560.68667,30.235044,39.784755,819420.286745,32704622.004943,30.235046,39.784794
2;1057590.720128,38377609.286988,28.605777,41.706487,1057591.404741,38377615.479557,28.605778,41.706492;819426.383452,32704660.284808,30.235044,39.78482,819426.588186,32704664.955201,30.235044,39.784823
