Estimulo;C1;C3;C5
2;703493.438794,36507008.660511,28.934321,40.812295,703495.871482,36507102.873561,28.934339,40.812359;1160827.822544,37173697.466889,28.759023,41.289867,1160828.324424,37173723.662468,28.759031,41.289887;1121846.064085,38385405.933613,28.190142,41.316141,1121846.577402,38385467.37783,28.190165,41.316189
1;703498.786786,36507157.419928,28.934343,40.812392,703499.910082,36507217.310286,28.934383,40.812461;1160828.386037,37173733.844673,28.759035,41.289895,1160828.744267,37173745.797163,28.759052,41.289916;1121846.805756,38385492.684755,28.190173,41.316207,1121847.398206,38385532.667901,28.190218,41.316269
2;703500.462949,36507258.424523,28.934399,40.812496,703501.543483,36507272.05214,28.934403,40.812509;1160828.983605,37173769.486693,28.75906,41.289936,1160830.058574,37173776.435509,28.759063,41.289943;1121848.236626,38385593.642466,28.190237,41.316316,1121849.975901,38385609.274269,28.190243,41.316332
2;703503.740373,36507315.697296,28.934408,40.812541,703504.058912,36507340.023817,28.934419,40.812564;1160830.271831,37173793.074157,28.759064,41.289954,1160830.347119,37173808.169939,28.75907,41.289966;1121850.491438,38385639.901717,28.190247,41.316352,1121850.577381,38385673.039943,28.19026,41.31638
1;703504.995489,36507406.970802,28.934439,40.812617,703505.682403,36507424.385802,28.934448,40.812634;1160831.900127,37173825.942976,28.759081,41.289987,1160832.360311,37173835.487164,28.759086,41.289996;1121853.075562,38385718.259097,28.190287,41.316427,1121854.212676,38385742.870425,28.190298,41.316448
0;703505.976396,36507443.442167,28.934449,40.812645,703505.976396,36507443.442167,28.934449,40.812645;1160832.658007,37173845.4377,28.759086,41.290001,1160832.658007,37173845.4377,28.759086,41.290001;1121854.518365,38385755.76274,28.190299,41.316456,1121854.518365,38385755.76274,28.190299,41.316456
2;703506.177709,36507470.365966,28.934457,40.812665,703507.449612,36507514.867335,28.934469,40.8127;1160832.76288,37173860.722616,28.759091,41.290012,1160833.354373,37173876.465849,28.759099,41.290027;1121854.761721,38385785.165734,28.19031,41.316479,1121855.569849,38385820.948414,28.190329,41.316512
2;703508.170596,36507541.505896,28.93448,40.812725,703515.058351,36507837.233773,28.934646,40.813033;1160833.991872,37173890.853735,28.759104,41.29004,1160835.52894,37173994.385865,28.759168,41.290152;1121857.345215,38385852.343649,28.190341,41.316541,1121861.13179,38386169.044208,28.190501,41.316846
2;703516.652004,36507886.021685,28.934646,40.813065,703516.959712,36507918.462548,28.934657,40.813092;1160836.111467,37174016.524745,28.759169,41.290167,1160836.148781,37174028.743599,28.759175,41.290178;1121864.154368,38386218.499957,28.190502,41.316878,1121864.200767,38386251.547299,28.190515,41.316904
0;703517.881698,36507999.042586,28.934649,40.813132,703517.881698,36507999.042586,28.934649,40.813132;1160836.555568,37174041.160859,28.759177,41.290186,1160836.555568,37174041.160859,28.759177,41.290186;1121864.697535,38386280.887717,28.190521,41.316924,1121864.697535,38386280.887717,28.190521,41.316924
1;703519.556121,36508021.635737,28.934653,40.81315,703520.478872,36508032.270793,28.934654,40.813157;1160837.084329,37174050.644764,28.759181,41.290195,1160837.983744,37174057.107387,28.759182,41.2902;1121865.472865,38386303.049474,28.190529,41.316942,1121866.198916,38386311.84248,28.190531,41.316949
2;703520.576175,36508043.864407,28.93466,40.813168,703522.146843,36508121.539964,28.934662,40.813209;1160838.231366,37174063.383587,28.759185,41.290205,1160838.407133,37174074.913475,28.759187,41.290213;1121866.378609,38386327.930542,28.190538,41.316962,1121866.65532,38386353.032036,28.190545,41.316981
1;703524.998018,36508152.329263,28.934665,40.813229,703525.200367,36508172.519346,28.934673,40.813248;1160838.434304,37174083.687654,28.759191,41.29022,1160838.750514,37174095.726263,28.759196,41.290231;1121866.773502,38386379.334791,28.190552,41.316998,1121867.062781,38386402.460749,28.190563,41.317021
2;703526.468639,36508186.671877,28.934675,40.813258,703528.032218,36508220.048374,28.934679,40.813281;1160839.266148,37174105.685767,28.759197,41.290238,1160839.295946,37174113.549362,28.759201,41.290245;1121867.828279,38386419.934208,28.190565,41.317032,1121867.909262,38386438.98469,28.190573,41.317049
0;703529.76254,36508329.634535,28.934665,40.813333,703529.76254,36508329.634535,28.934665,40.813333;1160839.997085,37174124.06709,28.759203,41.290253,1160839.997085,37174124.06709,28.759203,41.290253;1121868.413832,38386460.575132,28.190578,41.317064,1121868.413832,38386460.575132,28.190578,41.317064
1;703541.41187,36508380.776563,28.934667,40.813375,703567.613825,36508768.260964,28.93487,40.813785;1160844.591951,37174146.38063,28.759204,41.290271,1160857.155511,37174308.372183,28.759272,41.290426;1121882.64155,38386519.957779,28.190581,41.317114,1121916.015144,38387004.932461,28.19076,41.317547
2;703567.923023,36508789.932468,28.934876,40.813801,703579.655844,36509154.723019,28.935009,40.814106;1160857.257044,37174319.341955,28.759275,41.290435,1160863.167878,37174450.174579,28.759326,41.290547;1121916.363889,38387031.616987,28.190768,41.317567,1121935.590823,38387413.893793,28.190893,41.31787
2;703580.081834,36509212.833202,28.935008,40.814136,703586.324297,36509335.313864,28.935045,40.814237;1160863.495885,37174476.160706,28.759326,41.29056,1160866.646736,37174521.804271,28.75934,41.290597;1121936.417491,38387487.498511,28.190893,41.317907,1121945.248647,38387627.955241,28.190928,41.318012
2;703589.826349,36509355.218885,28.93506,40.814264,703589.869085,36509374.257279,28.935065,40.814279;1160867.688206,37174535.211789,28.759347,41.290613,1160867.721354,37174548.472985,28.75935,41.290622;1121948.450047,38387665.454422,28.190946,41.318053,1121948.519399,38387693.312673,28.190953,41.318072
0;703591.729819,36509952.588491,28.935254,40.814751,703591.729819,36509952.588491,28.935254,40.814751;1160869.265908,37174844.239157,28.759407,41.29083,1160869.265908,37174844.239157,28.759407,41.29083;1121951.618806,38388409.216218,28.191117,41.318584,1121951.618806,38388409.216218,28.191117,41.318584
2;703591.946542,36509967.980402,28.935259,40.814764,703635.010779,36511037.928638,28.935629,40.815666;1160869.336155,37174851.989636,28.75941,41.290837,1160888.427612,37175254.384775,28.759537,41.291167;1121951.883349,38388428.316887,28.191124,41.318599,1122005.681927,38389636.601482,28.191451,41.319516
2;703641.044428,36511252.203403,28.935626,40.815794,703651.347577,36511428.795885,28.93563,40.815897;1160890.780061,37175336.392547,28.759541,41.291219,1160896.288324,37175398.355364,28.759546,41.291257;1122013.155729,38389892.203344,28.191451,41.319664,1122025.94902,38390086.221236,28.191457,41.319774
2;703661.165877,36511531.651315,28.935624,40.815958,703661.774483,36511545.062851,28.935628,40.815969;1160902.444703,37175436.870798,28.759546,41.291282,1160902.759596,37175442.074247,28.759546,41.291285;1122038.075246,38390207.91969,28.191453,41.319843,1122038.737465,38390213.453075,28.191453,41.319847
0;703662.513128,36511690.515093,28.935707,40.81612,703662.513128,36511690.515093,28.935707,40.81612;1160903.551516,37175481.438965,28.759575,41.291335,1160903.551516,37175481.438965,28.759575,41.291335;1122040.451005,38390301.043201,28.191528,41.319966,1122040.451005,38390301.043201,28.191528,41.319966
1;703662.775122,36511724.27743,28.935723,40.816152,703670.908754,36512201.85568,28.935801,40.816492;1160903.69978,37175501.186404,28.759583,41.291353,1160906.267548,37175617.788467,28.759616,41.291449;1122040.501853,38390350.261317,28.191547,41.320007,1122049.330378,38390785.553744,28.191625,41.320317
