Estimulo;C2;C3;C4
2;1057288.809971,38369867.103975,28.604015,41.700711,1057289.552358,38369973.434394,28.604046,41.700788;1160827.822544,37173697.466889,28.759023,41.289867,1160828.324424,37173723.662468,28.759031,41.289887;819354.41322,32702955.09745,30.234593,39.783376,819354.952867,32702980.77496,30.234601,39.783396
1;1057289.880303,38370011.926231,28.604058,41.700817,1057290.869043,38370079.215704,28.604122,41.700911;1160828.386037,37173733.844673,28.759035,41.289895,1160828.744267,37173745.797163,28.759052,41.289916;819355.050304,32702991.201367,30.234603,39.783403,819355.381747,32703004.369343,30.234619,39.783426
2;1057291.985162,38370172.493026,28.60415,41.700983,1057294.207269,38370194.11961,28.604158,41.701006;1160828.983605,37173769.486693,28.75906,41.289936,1160830.058574,37173776.435509,28.759063,41.289943;819355.581106,32703026.562393,30.234627,39.783445,819356.685555,32703033.353224,30.234628,39.783453
2;1057295.106138,38370240.013942,28.604165,41.701038,1057295.335453,38370286.487324,28.604185,41.701079;1160830.271831,37173793.074157,28.759064,41.289954,1160830.347119,37173808.169939,28.75907,41.289966;819356.82778,32703050.977378,30.234629,39.783463,819356.929267,32703065.151632,30.234634,39.783476
1;1057298.249021,38370359.686906,28.604223,41.701151,1057299.362413,38370396.007018,28.604238,41.701182;1160831.900127,37173825.942976,28.759081,41.289987,1160832.360311,37173835.487164,28.759086,41.289996;819358.69815,32703082.099518,30.234644,39.783496,819359.188735,32703091.377768,30.234648,39.783505
0;1057299.591937,38370413.698999,28.60424,41.701194,1057299.591937,38370413.698999,28.60424,41.701194;1160832.658007,37173845.4377,28.759086,41.290001,1160832.658007,37173845.4377,28.759086,41.290001;819359.481554,32703101.576324,30.234648,39.783511,819359.481554,32703101.576324,30.234648,39.783511
2;1057299.701695,38370460.475326,28.604256,41.701229,1057300.80656,38370514.597391,28.604282,41.701278;1160832.76288,37173860.722616,28.759091,41.290012,1160833.354373,37173876.465849,28.759099,41.290027;819359.66347,32703115.667674,30.234652,39.783522,819360.201291,32703131.417339,30.234659,39.783537
2;1057302.379991,38370560.658436,28.604302,41.701321,1057308.603143,38371085.89679,28.604527,41.701801;1160833.991872,37173890.853735,28.759104,41.29004,1160835.52894,37173994.385865,28.759168,41.290152;819360.996409,32703145.78581,30.234663,39.78355,819362.34818,32703247.183833,30.234724,39.783666
2;1057312.48881,38371170.988945,28.604526,41.701853,1057312.529536,38371216.946903,28.604544,41.701891;1160836.111467,37174016.524745,28.759169,41.290167,1160836.148781,37174028.743599,28.759175,41.290178;819362.843616,32703268.981856,30.234724,39.783682,819362.873201,32703281.410148,30.234729,39.783693
0;1057312.829926,38371265.457514,28.604552,41.701922,1057312.829926,38371265.457514,28.604552,41.701922;1160836.555568,37174041.160859,28.759177,41.290186,1160836.555568,37174041.160859,28.759177,41.290186;819363.37,32703295.157104,30.23473,39.783702,819363.37,32703295.157104,30.23473,39.783702
