Estimulo;C1;C2;C3;C4;C5
1;338841.225502,24405888.355864,32.554611,36.01495,338841.703884,24405908.1645,32.554608,36.014962;827190.499741,35005226.819678,29.755902,40.713747,827194.692222,35005263.426634,29.755904,40.713772;403850.378989,24086041.974237,32.999569,36.183812,403861.935212,24086137.714618,32.999558,36.183879;917955.478949,33041613.125118,30.627925,40.463346,917978.353827,33041822.57138,30.627921,40.463476;793800.322369,37112572.340718,29.937743,42.133215,793801.475074,37112587.925162,29.937743,42.133224
1;338842.05748,24405916.851204,32.554608,36.014969,338845.295848,24405951.933988,32.554612,36.014999;827195.402017,35005293.952832,29.755907,40.713794,827203.750461,35005462.524167,29.75595,40.713921;403863.551811,24086209.879789,32.999556,36.183938,403881.02404,24086672.195783,32.999609,36.184304;917980.995157,33041958.779937,30.627933,40.463578,918011.904716,33042964.91934,30.628115,40.464291;793801.653934,37112598.627602,29.937744,42.133231,793805.238347,37112645.834002,29.937757,42.133267
1;338845.34468,24405964.257073,32.554615,36.01501,338846.931716,24405975.760799,32.554613,36.015018;827203.987706,35005511.848008,29.755975,40.713972,827204.91128,35005538.924865,29.755981,40.713994;403881.663206,24086811.203802,32.999654,36.184453,403882.288726,24086869.354059,32.999665,36.184509;918013.509952,33043253.684766,30.628228,40.464575,918014.620706,33043369.254275,30.628266,40.464682;793805.421329,37112663.728651,29.937764,42.133284,793806.526386,37112675.475108,29.937765,42.133292
0;338847.472231,24406002.335413,32.55461,36.015034,338847.472231,24406002.335413,32.55461,36.015034;827205.942619,35005612.836033,29.755988,40.714042,827205.942619,35005612.836033,29.755988,40.714042;403883.761931,24087039.643981,32.999668,36.184637,403883.761931,24087039.643981,32.999668,36.184637;918017.818799,33043726.245057,30.628298,40.464915,918017.818799,33043726.245057,30.628298,40.464915;793806.782749,37112704.731787,29.937767,42.133309,793806.782749,37112704.731787,29.937767,42.133309
2;338849.507701,24406017.992654,32.554607,36.015044,338851.644146,24406081.280367,32.554593,36.015078;827208.01188,35005666.978733,29.755987,40.71407,827209.443702,35005773.32606,29.755988,40.714126;403885.951718,24087168.530179,32.999652,36.184711,403887.167525,24087371.462954,32.999641,36.184845;918020.641036,33043963.309936,30.628293,40.465041,918022.450845,33044344.504972,30.628302,40.465279;793808.51486,37112731.30189,29.937765,42.133322,793813.14499,37112792.818702,29.937762,42.133356
1;338851.809988,24406094.006946,32.554595,36.015089,338852.747881,24406134.589435,32.554588,36.015112;827209.595563,35005803.43496,29.756002,40.714159,827210.980319,35005861.374314,29.756008,40.714201;403887.291316,24087451.893778,32.999662,36.184935,403888.609988,24087564.364462,32.999667,36.185037;918022.634929,33044518.414809,30.628363,40.465458,918023.617239,33044727.252875,30.628401,40.465639;793813.341393,37112802.349637,29.937765,42.133365,793814.179794,37112821.926562,29.937766,42.133378
2;338852.771132,24406143.48006,32.55459,36.01512,338853.689996,24406177.9296,32.554587,36.015142;827211.018527,35005898.345754,29.756023,40.714235,827211.685356,35005950.337746,29.756038,40.714278;403888.669612,24087661.062909,32.999695,36.185137,403889.072347,24087781.099107,32.999718,36.18525;918023.659423,33044937.928792,30.628474,40.465838,918024.214357,33045179.565447,30.628536,40.466043;793814.204882,37112834.8686,29.937771,42.13339,793814.581615,37112855.076939,29.937775,42.133406
1;338854.1903,24406197.919752,32.554587,36.015156,338854.827637,24406207.438736,32.554588,36.015165;827212.033857,35005987.414766,29.756049,40.71431,827212.386321,35006018.662592,29.756062,40.714343;403889.982101,24087868.334931,32.999736,36.185334,403890.510207,24087947.496323,32.999757,36.185428;918026.611097,33045347.819296,30.628588,40.466195,918027.559375,33045518.332087,30.628647,40.466377;793814.751443,37112870.575433,29.937779,42.133418,793815.171121,37112888.710607,29.937783,42.133433
0;338855.524109,24406230.486797,32.554585,36.015179,338855.524109,24406230.486797,32.554585,36.015179;827214.629965,35006059.462954,29.756069,40.714372,827214.629965,35006059.462954,29.756069,40.714372;403895.206193,24088033.96083,32.999771,36.185502,403895.206193,24088033.96083,32.999771,36.185502;918037.595336,33045701.161896,30.628683,40.466518,918037.595336,33045701.161896,30.628683,40.466518;793816.068404,37112909.871181,29.937784,42.133446,793816.068404,37112909.871181,29.937784,42.133446
1;338856.231244,24406246.989178,32.554584,36.01519,338857.186437,24406262.741392,32.554582,36.015202;827215.389441,35006102.982787,29.75608,40.714406,827216.209506,35006138.75474,29.756087,40.714436;403895.855349,24088143.663624,32.999784,36.185595,403896.543998,24088231.641103,32.999792,36.185675;918038.132756,33045908.584943,30.628731,40.466682,918039.239285,33046078.639184,30.628771,40.466829;793817.055608,37112930.52036,29.937787,42.13346,793817.48281,37112942.797802,29.937789,42.13347
