Estimulo;C1;C2;C3;C4;C5
0;919722.017108,41103831.264277,27.897822,42.393852;2023532.085587,50354884.261237,27.768248,47.737587;3178172.592622,60785323.032168,27.782675,52.364147;3491555.516945,91453031.190708,28.76037,64.937157;1043206.456584,43689239.041453,28.369297,44.413681
0;919722.542354,41103886.55038,27.897819,42.393878;2023532.694715,50354947.951806,27.768245,47.737612;3178172.888651,60785373.005324,27.782673,52.364166;3491555.713363,91453089.745627,28.76037,64.937176;1043206.675088,43689290.854935,28.369294,44.413704
0;919722.55928,41103890.334476,27.897819,42.39388;2023532.879783,50354953.973721,27.768245,47.737615;3178172.906377,60785375.826167,27.782673,52.364167;3491555.767548,91453092.943875,28.76037,64.937178;1043206.735091,43689293.483553,28.369295,44.413706
0;919722.588136,41103903.567642,27.897821,42.393887;2023532.99884,50354966.585665,27.768247,47.737623;3178172.964949,60785384.832596,27.782674,52.364172;3491555.905532,91453106.864164,28.760372,64.937184;1043206.886603,43689301.498091,28.369297,44.413711
0;919722.877422,41103914.51074,27.897822,42.393894;2023533.493707,50354980.024955,27.768249,47.73763;3178173.272124,60785397.033536,27.782675,52.364177;3491556.302576,91453124.455829,28.760373,64.937191;1043207.290956,43689313.338326,28.369298,44.413718
0;919723.143288,41103921.86039,27.897824,42.393899;2023533.670991,50354992.055489,27.768251,47.737637;3178173.448338,60785402.781231,27.782676,52.364181;3491556.594168,91453133.865654,28.760374,64.937196;1043207.420995,43689320.285664,28.3693,44.413722
0;919723.390458,41103928.617113,27.897827,42.393906;2023533.878588,50355004.866742,27.768254,47.737647;3178173.642289,60785408.891177,27.782678,52.364185;3491556.899384,91453144.645768,28.760378,64.937205;1043207.530465,43689325.587227,28.369302,44.413727
0;919724.535297,41103950.422268,27.897831,42.393919;2023535.063078,50355045.110154,27.768258,47.737667;3178174.531594,60785428.060326,27.78268,52.364195;3491557.825642,91453174.85113,28.760382,64.93722;1043208.395308,43689344.819422,28.369306,44.413739
0;919728.480345,41104015.136624,27.897828,42.393952;2023539.016521,50355131.214174,27.768257,47.737707;3178176.203416,60785471.926103,27.78268,52.364214;3491560.877201,91453248.445543,28.760383,64.937248;1043210.146034,43689395.906464,28.369305,44.413764
0;919728.976021,41104035.818227,27.897831,42.393965;2023540.567674,50355156.461084,27.76826,47.737721;3178176.471621,60785490.526907,27.782682,52.364223;3491561.433786,91453279.479137,28.760386,64.937262;1043210.579955,43689416.287415,28.369307,44.413776
0;919729.090707,41104051.962276,27.897834,42.393974;2023540.735444,50355179.930948,27.768264,47.737734;3178176.562494,60785503.003822,27.782684,52.364229;3491561.57967,91453295.340002,28.760389,64.93727;1043210.697911,43689424.857174,28.369309,44.413782
0;919729.528642,41104064.732787,27.897838,42.393984;2023542.231913,50355199.840653,27.768268,47.737748;3178176.887057,60785511.068519,27.782686,52.364235;3491562.107318,91453307.315091,28.760394,64.937281;1043211.221507,43689430.949699,28.369314,44.41379
